acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state
Chambers School District No. 137,NA,108915,2020,School District,0,0,0,27968,0,0,700581,0,0,0,0,30780,143234,0,2252194,-507111,2933319,0,0,0,2426208,FALSE,chambersno,0, Below 1%,Nebraska
Champaign Community Unit School District 4,NA,32885,2020,School District,407267203,288579101,27025228,3624325,0,0,12103164,0,74800019,0,1135365,2314864,79474539,557843,139523142,15394263,206476125,0,0,0,221870388,FALSE,champaign community unit,1.8356086482347522,1 - 5%,Illinois
Champion Local School District,NA,49857,2020,School District,34386220,14149859,1446181,292470,0,0,16096851,0,1319171,958808,1081688,738473,1627954,0,14625409,-1873412,18865248,0,0,0,16991836,FALSE,champion local,2.0236906712141054,1 - 5%,Ohio
Champlain Valley School District,NA,59214,2020,School District,46588936,35121901,2457840,0,0,1703274,6748112,0,0,0,0,1536447,52667198,0,70998318,57523,125144440,0,0,0,125201963,FALSE,champlain valley,0.3721102679516295, Below 1%,Vermont
Chandler Unified School District No. 80,NA,30542,2020,School District,879253507,426912729,30224105,34745000,1205000,50000000,326174516,0,0,0,9992157,30316201,37609686,48789277,380889582,37106469,460498277,0,0,0,497604746,FALSE,chandler unifiedno,1.7669717060938162,1 - 5%,Arizona
Chandler School District No. I-1,NA,190771,2020,School District,2988650,2225000,715265,48385,0,0,0,0,0,0,0,0,0,0,9986241,-666212,10652453,0,0,0,9986241,FALSE,chandlerno i-,0.299276774914605, Below 1%,Oklahoma
Channelview Independent School District,NA,44187,2020,School District,260297447,189129528,4493310,0,0,0,30477905,0,33874057,0,2095227,1403284,19855778,0,97755112,-3820999,122835173,0,0,0,119014174,FALSE,channelview,2.1871129988265094,1 - 5%,Texas
Channing Independent School District,NA,163495,2020,School District,2362413,824119,307198,0,0,0,525115,0,705981,0,0,67777,439203,0,2500162,59280,2947862,0,0,0,3007142,FALSE,channing,0.7856007464895239, Below 1%,Texas
Chanute Unified Scholl District No. 413,NA,33535,2020,School District,0,39350000,0,0,0,0,13608139,0,0,0,0,0,0,0,33938135,72965,33865170,0,0,0,33938135,FALSE,chanute unified scholl district no,0, Below 1%,Kansas
Chaparral Schools Unified School District No. 361,NA,169399,2020,School District,0,4185000,0,3000298,0,0,7359355,0,0,0,0,0,0,0,16940911,890788,16050123,0,0,0,16940911,FALSE,chaparral schools unifiedno,0, Below 1%,Kansas
Chapel Hill Independent School District,NA,39183,2020,School District,43965854,15074714,3903340,0,2235000,0,10040893,0,12711907,0,0,314418,7210137,0,35724375,4723306,38525624,0,0,0,43248930,FALSE,chapel hill,1.0165766875619813,1 - 5%,Texas
Chapel Hill-Carrboro City Board of Education,NA,36625,2020,School District,277657727,0,10913579,0,0,0,69261640,0,187109403,256035,10178637,5142434,84522992,150527,125244137,31448943,183611147,0,0,0,215060090,FALSE,chapel hill-carrboro city,1.2910704491939904,1 - 5%,North Carolina
Chappaqua Central School District,NA,36470,2020,School District,318962258,63103370,11319911,0,9209433,0,6877759,8174903,224404219,0,4047566,1857274,1980026,688172,121487694,-8375965,134389131,0,0,0,126013166,FALSE,chappaqua central,2.5311820036328583,1 - 5%,New York
Chardon Local School District,NA,45444,2020,School District,0,0,0,0,0,0,35697791,0,3320071,2094607,0,2022341,3797391,0,36537474,5274796,37082410,0,0,0,42357206,FALSE,chardon local,0, Below 1%,Ohio
Chariho Regional School District,NA,38234,2020,School District,80484455,20748464,5845565,0,0,743076,49588489,0,848545,0,2613316,3551819,8402617,521308,57665568,1045029,69096283,0,0,0,70141312,FALSE,chariho regional,1.1474614988667449,1 - 5%,Rhode Island
Chariton Community School District,NA,33396,2020,School District,15947441,6587000,2206353,0,0,0,6369680,0,784408,0,0,573399,2287811,0,14893876,399197,17355889,0,0,0,17755086,FALSE,chariton community,0.8981900172153489, Below 1%,Iowa
Charleroi Area School District,NA,38157,2020,School District,72725628,26462528,5602537,0,0,0,34439000,0,5619155,0,249481,291242,8490168,0,17910036,1362049,25329397,0,0,0,26691446,FALSE,charleroi area,2.7246792099611237,1 - 5%,Pennsylvania
Charles County Public Schools,NA,41712,2020,School District,488701968,0,49306697,0,0,0,9914047,0,420009395,0,9471829,4273720,121133608,24877241,321006114,30362774,440927909,0,0,0,471290683,FALSE,charles,1.0369438345124256,1 - 5%,Maryland
Charles A. Beard Memorial School Corporation,NA,54202,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15038911,1026136,14012775,0,0,0,15038911,FALSE,charles a beard memorial school corporation,0, Below 1%,Indiana
Charles City Community School District,NA,33380,2020,School District,22364036,10155000,2788204,0,0,0,8488061,0,833270,0,76131,997783,2751702,310995,19164664,431137,22794007,0,0,0,23225144,FALSE,charles city community,0.9629234591613296, Below 1%,Iowa
Charleston County School District,NA,43341,2020,School District,2050410740,612843511,62734771,0,0,228045000,583236524,0,501590758,0,61960176,3865226,216812631,0,674446126,101015984,794107999,0,0,0,895123983,FALSE,charleston,2.2906444011566607,1 - 5%,South Carolina
Charleston R-1 School District,NA,35270,2020,School District,20623736,13627749,0,21626,0,0,6974361,0,0,0,0,181434,2601704,24468,6793656,-88718,9689980,0,0,0,9601262,FALSE,charleston r-,2.1480234577496167,1 - 5%,Missouri
Charleston School District No. 9,NA,98658,2020,School District,0,9660000,0,0,0,0,6930505,0,0,0,0,0,0,0,17769244,-291973,18061217,0,0,0,17769244,FALSE,charlestonno,0, Below 1%,Arkansas
Charlevoix Public Schools,NA,161476,2020,School District,49054987,20990000,2359746,0,0,0,20143142,0,4291800,0,847871,245697,2765063,0,11760850,-268229,15039839,0,0,0,14771610,FALSE,charlevoix,3.320896435798129,1 - 5%,Michigan
Charlevoix-Emmet Intermediate School District,NA,161477,2020,School District,48873243,0,2894081,0,0,0,37682389,0,8248911,0,47862,2355380,12019693,0,22560230,-11367,36946670,0,0,0,36935303,FALSE,charlevoix-emmet intermediate,1.3232121853718108,1 - 5%,Michigan
Charlotte District School Board County,NA,102317,2020,School District,169982176,65000000,6471531,0,0,0,85125960,0,2619541,0,10085834,2532625,7698713,666084,201308036,13095531,199109927,1774566740,0,0,1774566740,FALSE,charlotte,0.09578798710044571, Below 1%,Florida
Charlotte Independent School District,NA,163498,2020,School District,14020158,8383639,846546,0,0,306291,1636759,0,2117409,0,0,56466,1477981,0,6722225,289492,7967180,0,0,0,8256672,FALSE,charlotte,1.698039839780483,1 - 5%,Texas
Charlotte Public Schools,NA,34398,2020,School District,123391792,65215219,2770729,0,2157397,0,43687204,0,9535042,0,26201,1946398,7968546,0,25032715,-1481618,36429277,0,0,0,34947659,FALSE,charlotte,3.5307598714981165,1 - 5%,Michigan
Charlotte-Mecklenburg Board of Education,NA,36608,2020,School District,2559051000,0,136582000,0,0,0,622449000,0,1688234000,2319000,93628000,22265000,162678000,229000,1614183000,99004000,1700351000,0,0,0,1799355000,FALSE,charlotte-mecklenburg,1.4222046233233576,1 - 5%,North Carolina
Charlton County Board of Education,NA,70773,2020,School District,31458140,2445000,2050888,0,0,0,15869214,0,11093038,0,0,131737,13095562,77220,8014234,513075,20805678,0,0,0,21318753,FALSE,charlton,1.4756088219606465,1 - 5%,Georgia
Charter Oak Unified School District,NA,146013,2020,School District,147373447,59616697,7945249,1589155,0,0,56730744,0,19797079,0,369523,1291270,13154152,0,52984908,-5365389,72795719,0,0,0,67430330,FALSE,charter oak unified,2.185566153984416,1 - 5%,California
Charter Oak-Ute Community School District,NA,162813,2020,School District,2174651,185000,406199,0,0,0,1369121,0,189385,0,0,314761,587932,0,3506114,336248,4072559,0,0,0,4408807,FALSE,charter oak-ute community,0.4932515757664148, Below 1%,Iowa
Chartiers Valley School District,NA,37854,2020,School District,214145375,82128144,10040896,2089926,0,0,105027000,0,11583476,0,3275933,1462805,11535307,0,55554772,-2975008,71527892,0,0,0,68552884,FALSE,chartiers valley,3.1237981906056644,1 - 5%,Pennsylvania
Chase County School District No. 10,NA,196981,2020,School District,0,3263510,0,0,0,0,0,0,0,0,0,230689,1030969,0,8919729,216079,9965308,0,0,0,10181387,FALSE,chase no,0, Below 1%,Nebraska
Chateaugay Central School District,NA,190562,2020,School District,43218471,9660000,868490,0,0,0,1001612,632605,31383499,0,304870,51829,1353561,0,13584174,2515844,12473720,0,0,0,14989564,FALSE,chateaugay central,2.883237364342285,1 - 5%,New York
Chatfield School,NA,161564,2020,School District,1361291,0,347635,0,0,1013656,0,0,0,0,0,261644,415180,0,3848186,-44438,4569448,0,0,0,4525010,FALSE,chatfield school,0.3008371252218227, Below 1%,Michigan
Chatham County Board of Education,NA,36525,2020,School District,152729030,0,6102917,0,0,0,38360851,0,101980125,141122,5183826,2840435,67244974,665932,89035036,48682369,111104008,0,0,0,159786377,FALSE,chatham,0.9558326114372065, Below 1%,North Carolina
Chatham School District,NA,64745,2020,School District,3141239,0,499831,0,0,0,2596403,0,45005,127757,0,95,754935,0,4434719,-186886,5376635,0,0,0,5189749,FALSE,chatham,0.6052776348143234, Below 1%,Alaska
Chatham Central School District,NA,64981,2020,School District,80761656,7880958,2190113,0,0,0,3011223,1538678,66939891,0,739471,280308,1035080,0,31070647,-2150885,34536920,0,0,0,32386035,FALSE,chatham central,2.4937185425755266,1 - 5%,New York
Chatom Union Elementary School District,NA,146014,2020,School District,14718521,6414295,427411,0,0,0,6932292,0,931595,0,12928,21104,1761898,0,7592417,436307,8939112,0,0,0,9375419,FALSE,chatom union elementary,1.569905409027586,1 - 5%,California
Chattahoochee County Board of Education,NA,197767,2020,School District,28327983,5022000,1933105,35000,0,0,8842127,0,6741458,0,36879,143797,8423683,1303197,3660018,364135,13166561,0,0,0,13530696,FALSE,chattahoochee,2.0936087101506087,1 - 5%,Georgia
School District Chattahoochee-Flint Resa,NA,189193,2020,School District,0,0,0,1780,0,0,0,0,0,0,0,0,0,0,4144040,50580,4093460,0,0,0,4144040,FALSE,chattahoochee-flint resa,0, Below 1%,Georgia
Chattanooga School District I-132,NA,146949,2020,School District,0,950000,0,23902,0,0,0,0,0,0,0,0,0,0,3557430,108637,3448793,0,0,0,3557430,FALSE,chattanoogai-,0, Below 1%,Oklahoma
Chattooga County Board of Education,NA,196508,2020,School District,61295644,13597458,3704567,0,0,0,25050899,0,18818231,0,124488,217977,21855968,77220,13843899,1547224,34447841,0,0,0,35995065,FALSE,chattooga,1.7028902156448391,1 - 5%,Georgia
Chautauqua Lake Central School District,NA,36135,2020,School District,19264877,14870832,1128931,0,0,0,1740727,1091642,649323,0,875064,1405748,1126063,0,21120707,1402901,22249617,0,0,0,23652518,FALSE,chautauqua lake central,0.8144958181619395, Below 1%,New York
Chawanakee Unified School District,NA,146015,2020,School District,35601340,8231376,2208013,1035705,0,0,14431628,0,1075052,0,114566,187600,2364154,0,18192384,-766407,21510545,0,0,0,20744138,FALSE,chawanakee unified,1.7162120691638283,1 - 5%,California
Cheatham County Schools,NA,106664,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043060,3052,2040008,0,0,0,2043060,FALSE,cheatham  schools,0, Below 1%,Tennessee
Cheboygan Area Schools,NA,34380,2020,School District,47223983,6239039,2005943,22443,0,0,31464383,0,6758313,0,733862,308960,5844245,0,14675715,2253105,18575815,0,0,0,20828920,FALSE,cheboygan area schools,2.267231474315519,1 - 5%,Michigan
Cheboygan-Otsego-Presque Isle Educational Service District,NA,161483,2020,School District,28553501,0,4040151,0,0,0,20094318,0,4334980,0,0,1757134,2482155,0,13660348,1013020,16886617,0,0,0,17899637,FALSE,cheboygan-otsego-presque isle educational service district,1.5952000032179423,1 - 5%,Michigan
Checotah School District No. 1-19,NA,190772,2020,School District,4332578,1515000,806226,1918972,0,0,0,0,0,0,0,0,0,0,14314951,-1616997,15931948,0,0,0,14314951,FALSE,checotahno 1-,0.3026610429892495, Below 1%,Oklahoma
Cheektowaga Central School District,NA,36172,2020,School District,37522527,25541153,3615341,0,0,0,3574242,2561482,2596385,0,1795000,617306,4653012,0,44802227,875319,49197226,0,0,0,50072545,FALSE,cheektowaga central,0.7493632888042738, Below 1%,New York
Cheektowaga-Maryvale Union Free School District,NA,36173,2020,School District,41263488,17471672,10434517,0,0,0,2622195,2509008,6863978,0,2331000,606427,3296364,0,44820015,2235357,46487449,0,0,0,48722806,FALSE,cheektowaga-maryvale union free,0.8469029472563628, Below 1%,New York
Cheektowaga-Sloan Union Free School District,NA,44968,2020,School District,25569060,19213442,3450952,0,0,0,2519354,1820206,0,0,385312,56455,2003112,0,35589856,17859,37631564,0,0,0,37649423,FALSE,cheektowaga-sloan union free,0.6791355076012718, Below 1%,New York
Chehalis School District No. 302,NA,39655,2020,School District,0,30885000,0,378255,0,0,14058653,0,0,0,0,0,0,0,48820336,1597105,47223231,0,0,0,48820336,FALSE,chehalisno,0, Below 1%,Washington
Chelsea School District,NA,34658,2020,School District,130708018,50220853,5077025,0,1273216,0,60835038,0,13301886,0,0,1446063,10132228,0,27755063,-165096,39498450,0,0,0,39333354,FALSE,chelsea,3.3230834573629293,1 - 5%,Michigan
Chelsea School District I-3,NA,37482,2020,School District,0,2220000,0,347508,0,0,0,0,0,0,0,0,0,0,9198256,-559605,9757861,0,0,0,9198256,FALSE,chelseai-,0, Below 1%,Oklahoma
School District of Cheltenham Township,NA,38088,2020,School District,363225537,159268569,14774130,0,0,0,176277000,0,11749397,0,1156441,1875922,18398080,667740,101245256,-7735123,129922121,0,0,0,122186998,FALSE,cheltenham township,2.9727020300474196,1 - 5%,Pennsylvania
Chenango Forks Central School District,NA,36109,2020,School District,121412567,19688047,2875176,0,0,1510000,1680377,1573903,92149386,0,582581,251464,1555756,0,33510762,-836755,36154737,0,0,0,35317982,FALSE,chenango forks central,3.4376983090370223,1 - 5%,New York
Chenango Valley Central School District,NA,36113,2020,School District,141502092,14246798,1616168,0,0,13606956,2577977,1716163,108689700,0,764493,424829,2063140,315847,38907728,-3458466,45170010,0,0,0,41711544,FALSE,chenango valley central,3.3923964070953594,1 - 5%,New York
Cheney School District No. 360,NA,39688,2020,School District,0,0,0,0,0,0,21934076,0,0,0,0,0,0,0,89369862,-9489634,98859496,0,0,0,89369862,FALSE,cheneyno,0, Below 1%,Washington
Chequamegon School District,NA,54064,2020,School District,3044097,100000,1097010,0,0,0,0,1085752,1485311,0,361776,554321,1777982,0,9928225,315661,11944867,0,0,0,12260528,FALSE,chequamegon,0.24828433163726718, Below 1%,Wisconsin
Cherokee County Board of Education,NA,30316,2020,School District,91598633,4015145,4212820,27306,0,1977330,37814000,0,15447032,0,0,4318429,30142603,1492513,11182597,3055004,44081137,0,0,0,47136142,FALSE,cherokee,1.9432781113057578,1 - 5%,Alabama
Cherokee County Board of Education,NA,41082,2020,School District,60166828,0,1663334,0,0,0,15494454,0,40470396,56608,2346558,1630698,29520989,225879,11459583,-441221,43278370,0,0,0,42837149,FALSE,cherokee,1.4045479077050622,1 - 5%,North Carolina
Cherokee County School District,NA,105267,2020,School District,1227419416,472710291,59972834,0,0,0,419413252,0,273784693,0,1538346,8179194,259413966,4500880,256607042,2915041,525786041,0,0,0,528701082,FALSE,cherokee,2.321575381228367,1 - 5%,Georgia
Cherokee Independent School District,NA,163499,2020,School District,1534306,0,152726,0,0,0,508229,0,707446,0,0,47947,221617,0,2263053,347920,2184697,0,0,0,2532617,FALSE,cherokee,0.6058184083894248, Below 1%,Texas
Cherokee Public Schools I-46,NA,148641,2020,School District,0,755000,0,7360773,0,0,0,0,0,0,0,0,0,0,6129409,-1937100,8066509,0,0,0,6129409,FALSE,cherokee  i-,0, Below 1%,Oklahoma
Cherokee Community School District,NA,162898,2020,School District,20062366,12324198,1807073,0,0,0,5260707,0,657532,0,12856,1400914,2580255,19937,11273820,1128623,14146303,187510,0,0,15274926,FALSE,cherokee community,1.313418212304269,1 - 5%,Iowa
Cherokee County School District One,NA,168830,2020,School District,308990556,83016949,14387354,0,0,0,112882378,0,91170845,0,642030,796650,57999911,0,52008746,-1295700,112101007,0,0,0,110805307,FALSE,cherokee one,2.788589864202082,1 - 5%,South Carolina
Cherry Creek School District No 5,NA,32036,2020,School District,1931718440,625622174,90398684,18075397,0,0,1074427362,0,52826631,0,48136892,31600681,67010901,2140415,669998777,201031141,569719633,0,0,0,770750774,FALSE,cherry creekno,2.506281544129854,1 - 5%,Colorado
Cherry Hill Township School District,NA,225090,2020,School District,50893845,0,4033859,0,907500,0,41299570,0,0,0,4652916,3385337,46171360,0,200130050,4838416,244848331,1357239,1132709,0,249686747,FALSE,cherry hill township,0.20383078241633706, Below 1%,New Jersey
Chesaning Union Schools,NA,34619,2020,School District,55484675,21351328,1659935,29820,0,1300000,25297094,0,5449498,0,397000,480497,4143240,0,13228470,-1604325,19456532,0,0,0,17852207,FALSE,chesaning union schools,3.108000876306218,1 - 5%,Michigan
Chesapeake Union Exempted Village School District,NA,37139,2020,School District,22046163,1299790,0,942800,0,0,14187336,0,1205138,0,779149,1688543,3286341,0,12025095,-208109,17208088,0,0,0,16999979,FALSE,chesapeake union exempted village,1.2968347196193595,1 - 5%,Ohio
Chester County School District,NA,41387,2020,School District,128381118,7238945,10443166,0,423902,1150252,60250422,0,48529609,0,344822,963235,36794762,99681,29826472,4611205,63072945,0,0,0,67684150,FALSE,chester,1.8967678252589417,1 - 5%,South Carolina
Chester Independent School District,NA,163500,2020,School District,2145901,0,363595,0,0,88953,646544,0,1046809,0,0,29141,272009,0,2819219,108013,3012356,0,0,0,3120369,FALSE,chester,0.6877074474204814, Below 1%,Texas
Chester County Intermediate Unit,NA,94022,2020,School District,46181570,0,5107962,49208,0,0,36470446,0,3815980,0,737974,24729152,6042317,1844073,59191,-1571028,34245761,0,0,0,32674733,FALSE,chester  intermediate unit,1.4133725285528729,1 - 5%,Pennsylvania
Chester County Schools,NA,106668,2020,School District,3862,0,3862,0,0,0,0,0,0,0,0,0,0,0,826553,77479,749074,0,0,0,826553,FALSE,chester  schools,0.004672416650837877, Below 1%,Tennessee
Chester Community Unit School District No. 139,NA,33109,2020,School District,7483476,7480000,3476,0,0,0,1014543,0,0,0,0,0,0,0,17473851,506783,16967068,0,0,0,17473851,FALSE,chester community unitno,0.4282671289803261, Below 1%,Illinois
Chesterfield County School District,NA,43981,2020,School District,214014747,46877526,9922735,0,0,243000,86470460,0,69551840,0,949186,187228,49786445,0,34508546,2096082,82386137,0,0,0,84482219,FALSE,chesterfield,2.5332519615754885,1 - 5%,South Carolina
Chestnut Ridge School District,NA,37874,2020,School District,44157853,10371000,2550380,0,0,0,27882000,0,3140000,0,180961,285055,6436118,469182,15639709,406527,22423537,0,0,0,22830064,FALSE,chestnut ridge,1.93419751254311,1 - 5%,Pennsylvania
Chetek-Weyerhaeuser Area School District,NA,39930,2020,School District,2080780,228000,770378,0,0,189830,811341,1390038,0,0,81231,1173962,1741756,0,13869205,645235,16139688,0,0,0,16784923,FALSE,chetek-weyerhaeuser area,0.12396720556895018, Below 1%,Wisconsin
Chewelah School District No. 36,NA,42862,2020,School District,52319,0,52319,60683,0,0,3306572,0,0,0,301791,0,0,0,12164018,669342,11494676,0,0,0,12164018,FALSE,chewelahno,0.004301128130523977, Below 1%,Washington
Cheyenne Mountain School District 12,NA,49621,2020,School District,119567970,48495000,6629838,0,0,0,60629463,0,2981011,0,832658,2843345,4501326,662474,42752576,14013072,36746649,0,0,0,50759721,FALSE,cheyenne mountain,2.355567911809444,1 - 5%,Colorado
Cheyenne School District I-7,NA,146957,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4699517,-79898,4779415,0,0,0,4699517,FALSE,cheyennei-,0, Below 1%,Oklahoma
Chicago Board of Education,NA,198265,2020,School District,27536280000,8828829000,1138117000,525000,0,500000000,14127342000,0,2554892000,0,0,2260000,1612177000,18307000,5320734000,-1080796000,8034274000,0,0,0,6953478000,FALSE,chicago board of education,3.960072930409789,1 - 5%,Illinois
Chicago Heights School District 170,NA,32911,2020,School District,53060594,52800000,260594,0,0,0,4138791,0,19468200,0,0,0,0,0,64285129,-30836860,95121989,0,0,0,64285129,FALSE,chicago heights,0.825394532536444, Below 1%,Illinois
Chicago Park Elementary School District,NA,146016,2020,School District,2277460,0,488354,0,0,0,1767650,0,0,0,1456,12894,215172,0,1640970,-265388,2134424,0,0,0,1869036,FALSE,chicago park elementary,1.218521205584055,1 - 5%,California
Chicago Ridge Public School District 127.5,NA,46398,2020,School District,1702333,1616260,86073,0,0,0,1045766,0,9572524,0,0,205894,3176514,0,18435797,3798402,18019803,0,0,0,21818205,FALSE,chicago ridge public127,0.07802351293335084, Below 1%,Illinois
Chichester School District,NA,37976,2020,School District,162148081,38692643,7365125,943124,0,0,102547000,0,11321551,0,1278638,376939,14862605,0,63498924,-604783,79343251,0,0,0,78738468,FALSE,chichester,2.059324814396948,1 - 5%,Pennsylvania
Chickamauga City Board of Education,NA,197768,2020,School District,202982556,0,19690295,0,0,0,10928964,0,7325858,0,0,1024958,8481051,22748,81126714,64362901,14337470,0,0,0,90655471,FALSE,chickamauga city,2.2390546732695262,1 - 5%,Georgia
Chickasaw Board of Education,NA,56195,2020,School District,16830424,160220,1042814,1140656,0,734349,9693000,0,4059385,0,0,1678431,9979453,360401,2318767,220096,14116956,0,0,0,14337052,FALSE,chickasaw,1.173911066235932,1 - 5%,Alabama
Chickasha School District I-001,NA,168364,2020,School District,23606445,4820000,2391946,16065291,0,0,0,0,0,0,329208,0,0,0,22344700,-180448,22525148,0,0,0,22344700,FALSE,chickashai-,1.0564673054460343,1 - 5%,Oklahoma
Chico Independent School District,NA,163501,2020,School District,22164058,17282118,615336,18198,0,126656,1836426,0,2285324,0,0,88776,1169934,0,8986046,530051,9714705,0,0,0,10244756,FALSE,chico,2.1634539661071477,1 - 5%,Texas
Chico Unified School District,NA,146017,2020,School District,391627979,179234772,24883446,0,0,2037609,145122808,0,39581503,0,767841,4495053,37390598,0,139827500,8899671,172813480,0,0,0,181713151,FALSE,chico unified,2.155198877157768,1 - 5%,California
Chief Leschi Schools Inc,NA,88950,2020,School District,17154006,0,12358732,0,0,0,4795274,0,0,0,0,0,21597182,0,110865,-4293151,26001198,0,0,0,21708047,FALSE,chief leschi schools inc,0.79021415422585, Below 1%,Washington
Childress Independent School District,NA,38871,2020,School District,8518052,162088,1108708,0,833781,0,2633300,0,3780175,0,0,165515,2786507,0,11164312,41377,14074957,0,0,0,14116334,FALSE,childress,0.6034181395821323, Below 1%,Texas
Chillicothe Independent School District,NA,163502,2020,School District,13092770,10504859,11165092,0,0,0,687565,0,1240113,0,0,33127,443214,0,4553626,1068953,3961014,0,0,0,5029967,FALSE,chillicothe,2.6029534587403855,1 - 5%,Texas
Chillicothe City School District,NA,37233,2020,School District,90446115,44321889,4240216,779257,0,1612134,32608953,0,3658569,1803558,3225097,2373373,6920608,310787,33661116,-2239749,45505633,0,0,0,43265884,FALSE,chillicothe city,2.0904719062252375,1 - 5%,Ohio
Chillicothe R-II School District,NA,35262,2020,School District,17627170,16545000,0,1082170,0,0,0,0,0,0,0,2192952,4199290,63676,17107520,2113250,21450188,0,0,0,23563438,FALSE,chillicothe r-ii,0.7480729255213098, Below 1%,Missouri
Chilton County Board of Education,NA,43262,2020,School District,97060178,5410186,2800486,1540299,0,2435695,57878000,0,26995512,0,0,5996795,55108735,2828314,11248911,8776861,66405895,0,0,0,75182756,FALSE,chilton,1.2909898913522138,1 - 5%,Alabama
Chilton Independent School District,NA,163503,2020,School District,6220571,1212000,444709,36075,0,669000,1599184,0,2259603,0,0,40410,1623141,0,6687263,630736,7720078,0,0,0,8350814,FALSE,chilton,0.7449059456958328, Below 1%,Texas
School District of Chilton,NA,39944,2020,School District,11985672,3761767,1714810,40067,0,5620000,0,0,849028,0,0,406604,1104816,0,15519245,1445835,15584830,0,0,0,17030665,FALSE,chilton,0.7037700524318927, Below 1%,Wisconsin
Chimacum School District No. 49,NA,39630,2020,School District,656791,0,656791,0,0,0,4216795,0,0,0,0,0,0,0,15603074,-579072,16182146,0,0,0,15603074,FALSE,chimacumno,0.042093692563401286, Below 1%,Washington
China Spring Independent School District,NA,54158,2020,School District,54845701,36467256,3339196,0,0,370000,6301638,0,8242478,0,125133,927581,4379066,0,28129514,1260406,32175755,0,0,0,33436161,FALSE,china spring,1.6403109495734274,1 - 5%,Texas
Chinle Unified School District No. 24,NA,30511,2020,School District,40760818,0,2490794,0,0,0,37483797,0,0,0,786227,2086330,11389978,1447694,52502121,4531888,62894235,0,0,0,67426123,FALSE,chinle unifiedno,0.6045256079754133, Below 1%,Arizona
Chino Valley Unified School District,NA,146018,2020,School District,1016474524,611587325,47289425,603815,0,0,306805356,0,46222605,0,2540893,7950647,54757488,83193,311085119,9311456,364564991,0,0,0,373876447,FALSE,chino valley unified,2.718744473358066,1 - 5%,California
Chino Valley Unified School District No. 51,NA,30606,2020,School District,15174210,0,539131,615123,0,0,13296853,0,0,0,723103,814668,3340338,177356,16712501,-304024,21348887,0,0,0,21044863,FALSE,chino valley unifiedno,0.721041044553248, Below 1%,Arizona
Chippewa Falls Area Unified School District,NA,39946,2020,School District,103304177,63125522,13764002,175707,0,13000000,1362524,6152181,10458435,0,1417987,2273743,7114596,0,63264443,-703046,73355828,0,0,0,72652782,FALSE,chippewa falls area unified,1.4218887997984715,1 - 5%,Wisconsin
Chippewa Hills School District,NA,34538,2020,School District,74067527,22350493,2637770,0,0,0,40005031,0,8675603,0,398630,1130272,2660475,0,21595990,-1190986,26577724,0,0,0,25386738,FALSE,chippewa hills,2.917567707989896,1 - 5%,Michigan
Chippewa Local School District,NA,82764,2020,School District,34032836,15582255,2213236,263222,0,0,13919136,0,1310646,0,744341,1239077,1475592,0,13253234,-982363,16950266,0,0,0,15967903,FALSE,chippewa local,2.1313278268286076,1 - 5%,Ohio
Chippewa Valley Schools,NA,34508,2020,School District,943198761,479180869,22295901,0,34703948,0,332029236,0,72776529,0,1570757,8368649,37448847,0,160662260,-15487114,221966870,0,0,0,206479756,FALSE,chippewa valley schools,4.567996297903413,1 - 5%,Michigan
Chireno Independent School District,NA,163504,2020,School District,3976621,787814,216214,0,0,0,1183689,0,1788904,0,0,32230,399797,0,5280554,411273,5301308,0,0,0,5712581,FALSE,chireno,0.6961163439082965, Below 1%,Texas
Chisholm School District I-42,NA,146959,2020,School District,0,5445000,0,9605875,0,0,0,0,0,0,0,0,0,0,13486294,284324,13201970,0,0,0,13486294,FALSE,chisholmi-,0, Below 1%,Oklahoma
Chisum Independent School District,NA,163505,2020,School District,37156111,29935841,1398462,65339,31565,629112,2075570,0,3020222,0,0,455543,1399518,0,13522879,-1555241,16933181,0,0,0,15377940,FALSE,chisum,2.416195602271826,1 - 5%,Texas
Chittenango Central School District,NA,36225,2020,School District,148418662,9510000,3234763,1723001,0,15210461,4612309,2072520,113745661,0,0,266425,1254240,0,39010590,-6292486,46823741,0,0,0,40531255,FALSE,chittenango central,3.66183238096131,1 - 5%,New York
Choctaw County Board of Education,NA,44455,2020,School District,29106043,501626,1349596,1001757,0,0,12674000,0,5703218,0,0,1004118,10371792,339214,5986953,1846499,15855577,0,0,0,17702077,FALSE,choctaw,1.6442162690852604,1 - 5%,Alabama
Choctaw County School District,NA,34993,2020,School District,29257767,0,1918411,179507,0,507070,24707573,0,1717742,0,227464,934731,2234353,0,18604638,3193914,18579808,0,0,0,21773722,FALSE,choctaw,1.3437191399798345,1 - 5%,Mississippi
