state,acfrs_original_name,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name
CA,E L Segundo Unified School District,44062,2020,School District,133501268,86409740,5590249,0,0,0,39167962,0,2043904,0,289413,447957,8956593,21133,44243152,7562494,46106341,150000,23969,0,53668835,e l segundo
CA,Fairfield Suisun Unified School District,31501,2020,School District,672501000,316931771,30268481,0,773830,0,240108000,0,82109470,0,1517774,4813783,41590588,0,231860755,-4699483,282964609,0,0,0,278265126,fairfield suisun
IL,Black Hawk Area Special Education District Joint Agreement No. 865,61524,2020,School District,2603824,0,2603824,0,0,0,0,0,0,0,0,0,0,0,22682065,1207186,21474879,0,0,0,22682065,black hawk area special education district joint agreement 865
GA,City of Thomasville Board of Education,71025,2020,School District,66471685,6200000,5264877,2689093,0,0,30279899,0,21861968,0,175848,765957,21453046,172950,17420596,2129090,37683459,0,0,0,39812549,city of thomasville
TN,Arlington Community School System,191154,2020,School District,10835904,0,3037128,147787,0,0,0,6205910,5530649,0,254359,1103782,2640948,3752569,44321405,5308600,46510104,0,0,0,51818704,arlington community school system
OH,Spencerville Local School District,84403,2020,School District,0,4579151,0,0,0,0,10926492,0,1000154,643803,0,1058742,1277394,9092,10381530,87664,12639094,0,0,0,12726758,spencerville
OK,North Rock Creek School District I-10,57765,2020,School District,21487986,3260000,386315,17841671,0,0,0,0,0,0,0,0,0,0,11478240,842321,10635919,0,0,0,11478240,north rock creek i 10
VT,City of Rutland Vermont Public Schools,88886,2020,School District,27141868,1417955,1033293,0,0,6991300,15390103,0,0,0,1325136,4649382,19236494,0,35792957,284968,59393865,0,0,0,59678833,city of rutland vermont
CA,St. Hope Public Schools,50891,2020,School District,4539098,0,2544288,0,1256687,0,0,0,0,0,0,0,0,0,15487241,1106064,14381177,0,0,0,15487241,st hope
IA,Prairie Lakes Area Education Agency,165780,2020,School District,16226557,0,3581920,0,0,0,11350941,0,1151254,0,28825,1857441,11117515,0,12979425,-318588,26272969,0,0,0,25954381,prairie lakes area education agency
TN,Elizabethon City Schools,191201,2020,School District,7340445,0,1219080,0,0,0,454253,3123986,5568768,0,98344,653637,5946608,179496,20543750,440572,26882919,0,0,0,27323491,elizabethon city schools
MN,Dassel-Cokato Independent School District 466,164133,2020,School District,24500611,4686841,3812304,510403,0,0,14950810,0,490347,0,49906,1156271,5130787,551118,21853824,-123600,28815600,0,0,0,28692000,dassel cokato 466
MO,Diamond R-IV School District,47386,2020,School District,0,4500000,0,328811,8209,0,0,0,0,0,0,190290,932878,3579,7088489,-1543842,9759078,0,0,0,8215236,diamond r iv
AR,Arkansas River Educational Service Cooperative,30729,2020,School District,180282,0,180282,0,0,0,6047914,0,0,0,0,0,0,0,8596650,40044,8556606,0,0,0,8596650,arkansas river educational service cooperative
TN,Murfreesboro City Schools,191274,2020,School District,61536033,17408487,6576044,0,7272987,25466750,0,11425322,4409273,0,402492,4857312,10217681,0,91671727,8209376,98537344,0,0,0,106746720,murfreesboro city schools
AK,City of Saint Mary's School District,167071,2020,School District,2909684,0,276997,0,0,0,2525600,0,46140,124020,60947,6500,2354394,2585201,4518897,2412352,7052640,0,0,0,9464992,city of saint marys
AR,Cutter-Morning Star School District,167118,2020,School District,32916,17090000,32916,0,0,0,3957746,0,0,0,0,0,0,0,24214861,-6743317,30958178,0,0,0,24214861,cutter morning star
AR,Mulberry/Pleasant View Bi-County School District,167125,2020,School District,27136,3710000,27136,0,0,0,3624751,0,0,0,0,0,0,0,5557257,-2486723,8043980,0,0,0,5557257,mulberry pleasant view bi
MS,Mccomb Separate School District,35067,2020,School District,53022531,2500000,1577934,79790,0,4713943,41371395,0,2565451,0,214018,306461,7056465,0,20341017,-2398087,30102030,0,0,0,27703943,mccomb separate
CA,Saugus Union School Districit,167211,2020,School District,271186130,68620248,28985804,0,0,0,111462842,0,57761285,0,463575,5277394,46815481,0,116902932,-3569136,172564943,0,0,0,168995807,saugus union school districit
CA,Point Arena Schools District,167205,2020,School District,11424327,3395010,345306,0,0,0,7073640,0,421359,0,34379,324865,1418661,0,8217490,598862,9362154,11058,1387,0,9961016,point arena schools district
CO,Byers School District Number 32j,167276,2020,School District,9792225,626439,650356,0,0,0,8018915,0,394247,0,102268,772179,2316270,34905,4824894,1344064,6604184,0,0,0,7948248,byers number 32j
CO,Freemont County School District Re-2,167280,2020,School District,29940016,5665000,2493905,37526,0,0,20115632,0,989182,0,0,596577,2549800,0,14779074,5515959,12409492,0,0,0,17925451,freemont re 2
CO,Aspen School District Re,167273,2020,School District,74066899,24660659,2287083,1905939,0,88431,42722133,0,2100634,0,302020,3284003,4233194,37645,33941833,12817938,28678737,0,0,0,41496675,aspen re
OH,Collins Career Center,57390,2020,School District,20186582,3065000,1296416,136192,0,0,14131390,0,901821,889475,655763,3881963,7158873,3397,8309991,1051465,18302759,0,0,0,19354224,collins career center
IL,Brookfield-Lagrange Park School District 95,167431,2020,School District,48536763,38318406,1249816,61737,0,0,1637962,0,7268842,0,0,751179,6635620,0,16459891,1359632,22487058,0,0,0,23846690,brookfield lagrange park 95
ID,Emmett Joint School District No 221,167411,2020,School District,6283989,0,2325674,0,0,0,3778918,0,0,0,0,210639,3169537,0,17994181,-6664,21381021,0,0,0,21374357,emmett joint no 221
ID,Plummer Worley Joint School Distrcit No 44,167416,2020,School District,2126042,0,682630,0,0,0,1015000,0,428412,204264,0,4261,1136020,0,5526329,57660,6608950,0,0,0,6666610,plummer worley joint school distrcit no 44
IL,Kildeer Countryside Consolidated School District,167481,2020,School District,551319,0,148660,402659,0,0,0,0,0,0,0,1483339,23627937,121427,48180364,-3072643,76485710,0,0,0,73413067,kildeer countryside consolidated
IL,Cook County Midlothian School District No. 143,167447,2020,School District,2375000,2375000,0,0,0,0,1010681,0,10955044,0,0,635820,3157904,0,20004375,2400951,21397148,0,0,0,23798099,cook county midlothian 143
ID,Fremont County Joint School District 215,167412,2020,School District,10883217,6840000,1866156,0,0,0,2175530,0,0,2369,3900,205399,1955244,0,18790824,1811123,19140344,0,0,0,20951467,fremont county joint 215
IL,Georgetown-Ridge Farm Comm Unit School No. 4,167463,2020,School District,0,3200000,0,0,0,0,1397401,0,0,0,0,0,0,0,15408836,801377,14607459,0,0,0,15408836,georgetown ridge farm 4
IL,Franklin-Jefferson County Special Education District,167459,2020,School District,0,0,0,0,0,0,209827,0,2274558,0,0,0,0,0,7390300,999504,6390796,0,0,0,7390300,franklin jefferson county special education district
IL,Lagrange School District 105 South,167483,2020,School District,40041775,21167428,872364,0,0,0,2428904,0,15562048,0,11031,180110,13362254,50000,25366843,-413877,39373084,0,0,0,38959207,lagrange 105 south
IL,Special Education District of Lake County,167533,2020,School District,39770355,2706637,10504042,0,0,0,4234281,0,22205987,0,119408,41965857,40638034,0,452687,1596728,81459850,0,0,0,83056578,special education district of lake county
IL,Kaskaskia Special Education District,167480,2020,School District,459,0,459,26472,0,0,0,0,0,0,0,0,0,0,10807795,682781,10125014,0,0,0,10807795,kaskaskia special education district
IL,West Chicago Elementary School - District 33,167555,2020,School District,82968421,30993443,9603068,0,0,0,6634228,0,35737682,0,0,252582,36802199,0,65200147,2733871,99521057,0,0,0,102254928,west chicago elementary school district 33
IL,Rantoul Township High School Disrtict No. 193,167517,2020,School District,3398567,3378000,20567,0,0,0,1187749,0,0,0,0,0,0,0,15974647,562297,15412350,0,0,0,15974647,rantoul township high school disrtict 193
IL,Westchester Public School District 92 1/2,167556,2020,School District,14262789,13459431,0,803358,0,0,1099418,0,8067016,0,0,419005,7547725,0,15549545,896804,22619471,0,0,0,23516275,westchester 92 1 2
KS,Manhattan-Ogden Unified School District,167597,2020,School District,0,217925000,0,0,0,0,61985813,0,0,0,0,0,0,0,129585756,-17495591,147081347,0,0,0,129585756,manhattan ogden
IL,Vermilion County School District 2 Westville Commmunity Unit,167550,2020,School District,34974388,2920000,9981,0,0,0,893072,0,0,0,0,0,0,0,17922405,377675,17544730,0,0,0,17922405,vermilion 2 westville commmunity unit
KS,Unified School District 248,167603,2020,School District,0,13710000,0,217427,0,0,7306837,0,0,0,0,0,0,0,18149187,314572,17834615,0,0,0,18149187,248
KS,Unified School Distrcit 249,167601,2020,School District,0,2295000,0,0,0,0,7177871,0,0,0,0,0,0,0,15711586,-309950,16021536,0,0,0,15711586,unified school distrcit 249
KS,Unified School Distrct No. 379,167602,2020,School District,0,7415000,0,2076089,0,0,16045821,0,0,0,0,0,0,0,28511334,2042137,26469197,0,0,0,28511334,unified school distrct 379
KS,Unified School District No. 298,167606,2020,School District,0,0,0,106869,0,0,3177459,0,0,0,0,0,0,0,7207147,-941989,8149136,0,0,0,7207147,298
KS,Unified School District No. 313,167607,2020,School District,0,56895000,0,2890629,0,0,16275231,0,0,0,0,0,0,0,36936167,534313,36401854,0,0,0,36936167,313
KY,East Bernstadt Independent School District,167622,2020,School District,13207976,9709074,199540,178743,0,0,971123,0,1267177,0,234436,43677,2276120,638721,3396655,157040,6198133,0,0,0,6355173,east bernstadt
KS,Unified School District No. 466,167609,2020,School District,36483243,28645000,0,469798,0,0,7356445,0,12000,0,0,0,0,0,18086009,-11246179,29332188,0,0,0,18086009,466
KS,Unified School District No. 244 Burlington Ks,167605,2020,School District,0,0,0,0,0,0,11599784,0,0,0,479268,0,0,0,24228512,-634514,24863026,0,0,0,24228512,244 burlington ks
KS,Unified School District No. 431 Hoisington,167608,2020,School District,21196375,14665000,0,399786,0,0,6131589,0,0,0,0,0,0,0,14118371,354724,13763647,0,0,0,14118371,431 hoisington
KS,Unified School District 365,167604,2020,School District,0,0,0,433422,0,0,8854368,0,0,0,0,0,0,0,18838117,209490,18628627,0,0,0,18838117,365
MD,Board of Education of Cecil County,167709,2020,School District,91549363,0,24109818,1585281,0,0,11147349,0,51128537,0,3578378,1761674,74474290,10129147,152318157,-8563044,247246312,0,0,0,238683268,of cecil county
MI,Beaverton Schools,167742,2020,School District,29963911,4914430,1219259,0,0,0,19456657,0,4158890,0,214675,281365,3388662,0,8446888,-555432,12672347,0,0,0,12116915,beaverton schools
NJ,Somerville Borough School District,35876,2020,School District,27248663,13382802,2657871,0,0,0,9861170,0,0,0,1346820,11358420,13960766,0,31312623,2331320,54300489,0,0,0,56631809,somerville borough
ME,School Administrative District No. 27,167738,2020,School District,6174096,840952,520905,0,72139,0,609218,0,3564882,0,565991,1515656,1802956,0,9182242,-153738,12654592,0,0,0,12500854,school administrative district 27
MI,The Institute for Excellence in Education,167787,2020,School District,1707393,0,627077,0,0,919592,0,0,0,0,160724,849367,102329,0,6503234,410211,7044719,0,0,0,7454930,the institute for excellence in education
MN,Area Special Education Cooperative,167796,2020,School District,2708968,0,447374,0,0,0,2114624,0,128782,0,18188,1800360,1539648,0,79174,-51362,3470544,0,0,0,3419182,area special education cooperative
MN,Independent School District 129 Montevideo,167812,2020,School District,22383768,5863634,1273005,112830,0,0,13854167,0,1193025,0,87107,1760336,7040990,344705,13678652,-1068948,23893631,0,0,0,22824683,129 montevideo
MN,Austin Public Schools,167798,2020,School District,110490703,38239490,7711514,3923048,0,0,40937072,0,13357166,0,897413,4548669,28032031,2812117,46805640,-3342266,85540723,0,0,0,82198457,austin
MN,Independent School District No. 194,167813,2020,School District,315910185,172482249,14222798,1688060,0,0,84918481,0,25425666,0,539993,9657395,24911484,6622751,137826147,-2381230,181399007,0,0,0,179017777,194
MN,Independent School District 345,167816,2020,School District,35573281,22464599,2305188,686937,0,0,9746947,0,0,79084,369610,1611465,4102415,232562,16565528,-871828,23383798,0,0,0,22511970,345
MN,Independent School Idstrict No. 199,167826,2020,School District,104842908,57497750,7049394,1958901,0,0,30096662,0,7060170,0,0,2165352,8851121,0,44376539,-2194102,57587114,0,426183,0,55393012,independent school idstrict 199
MN,Independent School District 716,167818,2020,School District,33601992,19871381,2170821,1001691,0,0,9541079,0,921471,0,0,1332427,2859289,0,18141433,2373688,19959461,0,0,0,22333149,716
MN,Independent School District No. 2895,167821,2020,School District,50488550,38652927,618005,0,0,0,9194874,0,562589,0,0,890136,3318683,12475,13758226,23837,17955683,0,0,0,17979520,2895
MN,Independent School District No. 001,167819,2020,School District,13689674,3109248,1896691,277590,0,0,8406145,0,0,281883,0,551355,3326867,129364,11550158,-1091124,16648868,0,0,0,15557744,001
MN,Inependent School District No. 16,167827,2020,School District,168957675,122259749,3966991,2206119,0,0,39926904,0,0,829855,0,3059199,14887260,0,71278191,1190902,88033748,0,91443,0,89224650,inependent 16
MN,Independent School District No. 0544,167820,2020,School District,46797841,1158689,3339970,6290711,0,0,16856393,0,1158689,0,0,1364559,1682692,0,35917704,2397808,36567147,0,0,0,38964955,0544
MN,Independent School District 2310 - Sibley East,167814,2020,School District,49320536,37331496,1071239,0,0,0,8098158,0,2518541,0,30805,1364119,1233333,100046,14644689,102536,17239651,0,0,0,17342187,2310 sibley east
MN,Independent School District 885,167817,2020,School District,225827014,167387327,10762593,298552,0,0,44210952,0,2889191,0,278399,6928606,15492557,2959259,64551739,-2851046,92783207,0,0,0,89932161,885
MN,Independent School District 317 - Deer River,167837,2020,School District,28103012,16627114,2123335,192361,0,440000,8451081,0,202198,0,66923,1104996,7329272,140977,9917431,-613619,19106295,0,0,0,18492676,317 deer river
MN,Independent School District 14 Fridley,167831,2020,School District,90284876,52627810,4669836,3115642,0,0,26043479,0,2984659,0,422316,2014660,19181074,604584,32078833,1677746,52201405,0,0,0,53879151,14 fridley
MN,Independent School District No. 740 Melrose,167823,2020,School District,20371974,6967576,1473518,541785,0,0,9190398,0,2137554,0,61143,909033,2984580,0,14409949,-362202,18665764,0,0,0,18303562,740 melrose
MN,Independent School District No. 750 Rocori,167824,2020,School District,53923439,32424185,4110343,354874,0,0,14920699,0,1930955,0,182383,2055259,7064763,593455,22161562,582845,31292194,0,0,0,31875039,750 rocori
MN,Independent School District 256,167815,2020,School District,45962695,21187079,4082285,267495,0,0,19169831,0,0,3495044,0,1955102,8833635,295649,34504157,-605944,46194487,0,0,0,45588543,256
MN,Independent School District No. 821,167825,2020,School District,24914799,16015000,1588716,224405,0,0,6442779,0,604201,0,21646,448359,1043448,0,12586884,-129317,14208008,0,0,0,14078691,821
MN,Rockford Area Public Schools,167863,2020,School District,49384840,36252486,2250159,6038,0,0,10834647,0,0,463149,1503251,1605631,4810848,285330,20639636,1780789,25560656,0,0,0,27341445,rockford area
MN,Independent School District No. 621,167822,2020,School District,359485491,216131289,34610987,4917079,0,0,99714835,0,0,7025435,2749207,6719873,36480556,1893498,150036464,423113,194707278,0,120514,0,195130391,621
MN,River Bend Education District Independent School District No. 6049,167862,2020,School District,7141620,0,958168,1754670,0,0,4127082,0,273013,0,28687,2685995,5391731,0,1083,46707,8032102,0,0,0,8078809,river bend education district 6049
MN,Meeker and Wright Special Education Cooperative,167852,2020,School District,7036293,0,1460401,0,0,0,5332437,0,200170,0,43285,6441272,2798134,0,54300,-481915,9775621,0,0,0,9293706,meeker and wright special education cooperative
MO,Fredericktown R-1 School District,167891,2020,School District,0,0,0,240203,0,0,14705739,0,0,0,0,831118,2690673,0,15711015,-426821,19659627,0,0,0,19232806,fredericktown r 1
MO,Dunkin R-V School District,167889,2020,School District,7273,20027531,7273,4705569,0,0,14302764,0,0,0,0,598241,5111635,0,16638829,-2310401,24659105,0,0,0,22348705,dunkin r v
MN,North Branch Public School,167856,2020,School District,110618795,83762103,5548014,1189581,0,0,18813204,0,0,714006,1305893,3559161,6697323,634493,29820809,172616,40539170,0,0,0,40711786,north branch public school
MO,Reorganized School Distict No IV of Jackson County,167913,2020,School District,900754,184575000,900754,3925000,1064344,0,0,0,0,0,0,8506076,13766534,549948,166288389,-61017721,250128668,0,0,0,189110947,reorganized school distict no iv of jackson county
MN,Pine Island Public Schools,167860,2020,School District,54375438,42356816,1884000,166058,200233,0,8865433,0,902898,0,0,1260986,3441906,265397,14283981,18065,19234205,0,0,0,19252270,pine island
MO,Holcomb Reorganized School District No. 3,167895,2020,School District,1697064,1455000,0,118718,7839,0,0,0,0,0,115507,7470,1213991,0,3977987,-56729,5256177,0,0,0,5199448,holcomb reorganized 3
MO,Miller R-II School District,167902,2020,School District,0,4810000,0,0,115031,0,0,0,0,0,55650,292979,823029,707977,8483529,-756507,11064021,0,0,0,10307514,miller r ii
MT,Dillon School District No. 10,167939,2020,School District,13087388,5910702,0,0,0,185446,5634122,0,914462,0,442656,176678,2049442,0,6371527,178172,8419475,0,0,0,8597647,dillon 10
MO,Schuyler County R-I School District,167919,2020,School District,10243871,5210000,0,657489,0,0,4376382,0,0,0,0,311817,1121747,0,5396712,-310921,7141197,0,0,0,6830276,schuyler county r i
MO,Reorganized School District No. 1,167914,2020,School District,0,37070000,0,0,359464,0,0,0,0,0,0,2140472,3505242,0,37831302,-2877840,46354856,0,0,0,43477016,reorganized 1
MO,Eminence R-I School District,167890,2020,School District,0,0,0,18619,260085,0,0,0,0,0,0,155022,868367,835995,2548892,-232774,4641050,0,0,0,4408276,eminence r i
MO,Climax Springs R-IV School District,167886,2020,School District,4510898,0,29845,2217841,0,0,2236249,0,0,0,26963,69328,1060302,0,3344939,-193786,4668355,0,0,0,4474569,climax springs r iv
MO,Saint Charles R-VI School District,167917,2020,School District,0,44330000,0,4182894,0,0,0,0,0,0,0,4973766,16811488,212103,75380693,-11738675,109116725,0,0,0,97378050,saint charles r vi
MT,Hardin School District No 1 & 17h,167940,2020,School District,33692121,10671750,0,121376,0,0,18562278,0,2611826,0,1724890,85452,7889753,618054,24775829,3751664,29617424,0,0,0,33369088,hardin no 1 & 17h
MO,Summersville R-II School District,167922,2020,School District,0,0,0,0,0,0,0,0,0,0,0,188762,896464,305000,3463184,750363,4103047,0,0,0,4853410,summersville r ii
MO,School District of the City of St. Louis,167918,2020,School District,599236095,217036687,37257080,3999884,0,0,273478114,0,58187381,0,2308926,322314,73925201,990770,312297196,11950507,375584974,0,0,0,387535481,of the city of st louis
MN,Winona Area Public Schools Independent School District 861,167876,2020,School District,50930107,14329942,5569564,522563,0,0,25518232,0,4138488,0,162700,1912066,15860900,469255,31807778,816179,49233820,0,0,0,50049999,winona area 861
MO,Reogranized School District R-II of Cape Girardeau County,167912,2020,School District,0,39460000,0,2167927,0,0,0,0,0,0,0,3319989,5139308,177490,49496741,-8650205,66783733,0,0,0,58133528,reogranized r ii of cape girardeau county
MO,Reorganized School District R-IV of Lincoln,167916,2020,School District,0,7995000,0,0,0,0,0,0,0,0,0,588523,2062823,0,18578775,655422,20574699,0,0,0,21230121,reorganized r iv of lincoln
MO,Nevada R-V School District,167907,2020,School District,2659731,2225000,0,434731,0,0,0,0,0,0,0,779381,3690455,10070578,19985692,10597306,23928800,0,0,0,34526106,nevada r v
ND,Oberon Public School District No. 16,167982,2020,School District,1090337,0,134535,0,0,0,929912,0,0,0,25890,0,648221,99691,879498,-5386,1632796,0,0,0,1627410,oberon 16
MO,Reorganized School District No II of Barton County,167915,2020,School District,3120323,3000000,0,120323,0,0,0,0,0,0,0,176950,447748,832116,6168605,3690990,3934429,0,0,0,7625419,reorganized no ii of barton county
MO,Sturgeon R-V School District,167921,2020,School District,0,3135000,0,91106,0,0,0,0,0,0,0,212691,959522,0,4414748,-1598498,7185459,0,0,0,5586961,sturgeon r v
NH,Winnacunnet Cooperative School District,168014,2020,School District,31404977,9113800,382360,7941,0,0,18914018,0,2298021,0,688837,479912,1988637,824839,25584558,1239621,27638325,0,0,0,28877946,winnacunnet cooperative
NJ,City of Asbury Park Board of Education,168029,2020,School District,29940600,0,7726300,0,0,0,21078525,0,0,0,768755,1162570,22522406,0,61281444,-350935,85317355,0,0,0,84966420,city of asbury park
NJ,Borough of Pompton Lakes Board of Education,168021,2020,School District,12261017,1845000,1045622,1386083,0,0,7594451,0,0,0,389860,201740,1343162,0,41081613,1031192,41595323,0,0,0,42626515,borough of pompton lakes
NJ,Cumberland County Board of Vocational Education,168034,2020,School District,3946872,0,812780,0,0,0,2957019,0,0,0,177072,1136377,1831120,0,16812812,267610,19512699,0,0,0,19780309,cumberland county board of vocational education
NJ,City of Northfield Board of Education,168030,2020,School District,7243620,3398000,615502,10983,0,0,2827332,0,0,0,391803,398734,6783170,0,14651612,-329964,22163479,0,0,0,21833516,city of northfield
NJ,Borough of South Plainfield School Distrcit,168022,2020,School District,43461858,29675204,2347782,145422,0,0,10301802,0,0,0,991648,1602570,19105701,0,60346191,3804391,77250071,47545449,46042673,0,93588122,borough of south plainfield school distrcit
NE,Northwest Public Schools School Disrict 82,167994,2020,School District,341000,325000,0,16000,0,0,5027867,0,0,0,0,250768,1299282,68677,18127553,818051,18928229,0,0,0,19746280,northwest school disrict 82
NH,Mascoma Valley Regional School Districct,168008,2020,School District,43604200,18811500,243882,1424037,0,0,17122044,0,5317071,0,0,157371,1827519,0,25640316,-1018581,28643787,0,0,0,27625206,mascoma valley regional school districct
NJ,Eastern Camden County Regional School District,168039,2020,School District,11401526,0,797392,0,0,0,8863999,0,0,0,1740135,990316,7745924,6182,36884426,2025763,43601085,0,0,0,45626848,eastern camden county regional
NJ,Fort Lee Borough School,168047,2020,School District,82872484,58168437,3173780,4422628,0,0,12650416,0,0,0,4457223,1088800,1640577,0,90191598,5389119,87531856,0,0,0,92920975,fort lee borough school
NJ,Mt. Olive School District Township,168077,2020,School District,58871598,24974797,4684334,3121736,0,0,23745308,0,0,0,2345423,5155381,25383932,0,85351775,5498460,110392628,706687,382387,0,115891088,mt olive township
NH,Governor Wentworh Regional School District,168005,2020,School District,79249562,31284470,1659457,1691962,0,0,35500775,0,8093772,0,1019126,2387727,4283670,0,47227195,1459048,52439544,0,0,0,53898592,governor wentworh regional
NJ,Township of Montgomery School District,168111,2020,School District,93659771,59407484,6363063,4479267,0,0,22402164,0,0,0,1007793,1395087,22804093,0,92057492,3693910,112562762,113477254,12032199,0,125509453,township of montgomery
NJ,Town of Dover Board of Education,168103,2020,School District,12353118,0,945005,0,0,0,7201907,0,0,0,0,345994,13404579,0,49873312,3069226,60554659,34599416,136370159,0,170969575,town of dover
NJ,Ramsey Board of Education,168092,2020,School District,67838618,49055000,1990536,0,0,0,15560032,0,0,0,1233050,388753,1344874,0,78464053,4097821,76099859,0,0,0,80197680,ramsey
NJ,Town of Hackettstown School District,168104,2020,School District,13398455,4926000,810166,728107,0,0,6563122,0,0,0,371060,6982477,9351672,59881,23859661,45503,40208188,0,0,0,40253691,town of hackettstown
NJ,Township of Haddon School District,168107,2020,School District,40307360,30163000,1382846,0,0,0,8093434,0,0,0,668080,912442,8488438,0,35144351,-890009,45435240,0,0,0,44545231,township of haddon
NJ,Wharton Board of Education,168124,2020,School District,3138515,915000,486385,0,0,0,1284794,0,0,0,452336,183878,5264121,0,13881648,1607772,17721875,0,0,0,19329647,wharton
NJ,Township of South Brunswick School District,168114,2020,School District,121591317,61375000,7250498,1718335,0,0,43069250,0,0,0,2723705,4329980,45523600,0,135282012,7147383,177988209,242190000,0,0,242190000,township of south brunswick
NM,Rio Rancho Public School District No. 94,168136,2020,School District,440195233,129499952,12107138,0,0,0,236151179,0,61395279,0,1041685,3422659,22446390,3411645,249164798,104125683,174319809,0,0,0,278445492,rio rancho 94
NY,Otsego Northern Catskills BOCES,168209,2020,School District,90210903,0,12526972,0,0,0,2984282,1126985,71994584,0,1557705,28945883,1778280,0,1688774,-4683797,37096734,0,0,0,32412937,otsego northern catskills boces
NY,Fort Plain Central School Distict,168186,2020,School District,55834882,8275000,1290565,0,0,0,2194352,1131650,43302114,0,772851,32108,1493928,0,21011706,-2483640,25021382,0,0,0,22537742,fort plain central school distict
NY,Valley Stream Union Free School District Thirteen,168239,2020,School District,91354284,0,5115737,7019689,0,30000000,3010714,3631646,42703256,0,2864900,423149,1383740,285705,51195910,-52718,53341222,0,0,0,53288504,valley stream union free thirteen
NY,Wheatland-Chili Central School District,168242,2020,School District,37584345,5010000,2160405,0,0,9080000,1509238,921000,19390229,0,434473,156931,1107668,320903,19443267,-1731441,22760210,0,0,0,21028769,wheatland chili central
NJ,Woodlynne Board of Education,168127,2020,School District,1627566,0,152890,0,0,0,1443490,0,0,0,31186,67140,2272262,0,10568976,1056776,11851601,0,0,0,12908378,woodlynne
OR,Multnomah County School District No. 7,168435,2020,School District,318390471,187710371,8278568,0,0,19508042,87585114,0,15115453,1153426,192923,704667,17239689,0,142532433,-760542,161237331,0,0,0,160476789,multnomah 7
OK,Idabel Public Schools,168383,2020,School District,0,1925000,0,133000,0,0,0,0,0,0,0,0,0,0,13075402,130980,12944422,0,0,0,13075402,idabel
OK,I-011 Valliant Independent School District Mccurtain County.,168379,2020,School District,0,1695000,0,367196,0,0,0,0,0,0,0,0,0,0,8680540,235393,8445147,0,0,0,8680540,i 011 valliant mccurtain county
IA,Central Community School District,168459,2020,School District,10754844,7075000,733193,0,0,0,2525278,0,136834,0,16261,787390,1141027,0,5222180,397164,6753433,0,0,0,7150597,central
AR,Wilbur D. Mills Education Service Cooperative,168454,2020,School District,1863,0,1863,0,0,0,4238268,0,0,0,0,0,0,0,7312497,305991,7006506,0,0,0,7312497,wilbur d mills education service cooperative
MN,Independent School District 719 Prior Lake-Savage Area Schools,34900,2020,School District,300149142,195739345,19682160,8795814,0,0,62891073,0,12382722,0,658028,9598647,16930262,1530246,104957742,2371879,130645018,0,225958,0,133016897,719 prior lake savage area schools
LA,Natchitoches Parish School Board,168544,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076050,142065,1933985,0,0,0,2076050,natchitoches parish school board
OH,Skyway Career Prep High School,168663,2020,School District,962370,0,8923,0,0,0,871983,0,81464,50482,0,0,0,494655,1166179,-82419,1743253,1143674,517160,0,1660834,skyway career prep high school
OH,North Woods Career Prep High School,168660,2020,School District,949110,0,4418,0,0,0,844214,0,100478,44172,0,0,0,390833,0,390833,0,896083,412474,0,1308557,north woods career prep high school
OH,Gem City Career Prep High School,168654,2020,School District,954943,0,8367,0,0,0,848879,0,97697,44950,0,0,0,514162,1133277,9418,1638021,1124831,522608,0,1647439,gem city career prep high school
OH,Queen City Career Prep High School,168662,2020,School District,792728,0,5636,0,0,0,699331,0,87761,35891,0,0,0,490486,709594,-99160,1299240,688134,511946,0,1200080,queen city career prep high school
OH,Cascade Career Prep High School,168651,2020,School District,918557,0,11589,0,0,0,820494,0,86474,44586,0,0,0,0,1293861,-101155,1395016,839179,454682,0,1293861,cascade career prep high school
OH,Capital City Career Prep High School,168650,2020,School District,859983,0,4197,0,0,0,775504,0,80282,42300,0,0,0,444007,1314873,-21301,1780181,1290960,467920,0,1758880,capital city career prep high school
OH,Eagle Elementary of Akron,168652,2020,School District,2159920,0,695620,0,0,0,1333883,0,130417,77562,0,0,0,362963,1017872,-474275,1855110,0,0,0,1380835,eagle elementary of akron
OK,Sovereign Community School District No. J-4,168683,2020,School District,115659,0,13159,0,102500,0,0,0,0,0,0,0,0,0,1009539,20812,988727,0,0,0,1009539,sovereign j 4
OR,Jefferson County School District 4,168698,2020,School District,16335354,7178654,417492,174643,0,0,8444850,0,100660,0,0,145405,584558,0,9640739,-371747,10742449,0,0,0,10370702,jefferson 4
MN,Eastern Carver County Schools Independent School District No. 112,34815,2020,School District,257613733,147913130,18837261,0,0,0,85562615,0,2230643,0,963387,9366267,24882885,2211337,125232543,-599652,162292684,0,0,0,161693032,eastern carver county schools 112
PA,Ridley School Distrcit,168778,2020,School District,274127751,44932000,14992073,1372719,0,7780000,180674000,0,19900586,0,4052223,949410,21414201,0,89591481,-8730076,120685168,0,0,0,111955092,ridley school distrcit
