"","state","acfrs_original_name","id","NCES District ID","nces_original_name","student"
"1468","NJ","Black Horse Pike Regional School District",35753,"3401770","Black Horse Pike Regional School District",3663
"1469","NY","Spencerport Central School District",36232,"3627780","SPENCERPORT CENTRAL SCHOOL DISTRICT",3663
"1470","OK","Tahlequah Public Schools",190922,"4029380","TAHLEQUAH",3663
"1471","MI","Greenville Public Schools",34550,"2617160","Greenville Public Schools",3657
"1472","OH","Olmsted Falls City School District",45432,"3904657","Olmsted Falls City",3657
"1473","NY","Warwick Valley Central School District",36331,"3629970","WARWICK VALLEY CENTRAL SCHOOL DISTRICT",3657
"1474","MI","Gibraltar School District",41683,"2615870","Gibraltar School District",3656
"1475","ID","Lake Pend Oreille School District 84",46517,"1600002","LAKE PEND OREILLE SCHOOL DISTRICT",3654
"1476","NY","Chappaqua Central School District",36470,"3606990","CHAPPAQUA CENTRAL SCHOOL DISTRICT",3653
"1477","TX","Castleberry Independent School District",39191,"4813170","CASTLEBERRY ISD",3649
"1478","CT","Regional School District 18",68344,"0903537","Regional School District 15",3646
"1479","CT","Regional School District 1",68354,"0903537","Regional School District 15",3646
"1480","MI","Alpena Public Schools",34337,"2602730","Alpena Public Schools",3643
"1481","NY","Indian River Central School District",36211,"3615300","INDIAN RIVER CENTRAL SCHOOL DISTRICT",3642
"1482","OK","Shawnee Public Schools",37476,"4027570","SHAWNEE",3642
"1483","GA","Dawson County Board of Education",105279,"1301650","Dawson County",3640
"1484","NC","Jackson County Board of Education",36589,"3702340","Jackson County Public Schools",3636
"1485","GA","Mcduffie County Board of Education",70984,"1303570","McDuffie County",3635
"1486","WV","Nicholas County Board of Education",39802,"5401020","NICHOLAS COUNTY SCHOOLS",3634
"1487","UT","Carbon School District",39312,"4900150","Carbon District",3628
"1488","WI","West De Pere School District",39937,"5516320","West De Pere School District",3628
"1489","NY","Hyde Park Central School District",36165,"3615180","HYDE PARK CENTRAL SCHOOL DISTRICT",3626
"1490","NY","Minisink Valley Central School District",36326,"3619560","MINISINK VALLEY CENTRAL SCHOOL DISTRICT",3625
"1491","IL","Glen Ellyn School District 41",48837,"1716800","Glen Ellyn SD 41",3622
"1492","OH","Lima City School District",36987,"3904422","Lima City",3616
"1493","PA","Palmyra Area School District",49415,"4218390","Palmyra Area SD",3616
"1494","TX","El Campo Independent School District",39241,"4818280","EL CAMPO ISD",3612
"1495","PA","Oxford Area School District",37934,"4218300","Oxford Area SD",3611
"1496","GA","Pierce County Board of Education",32617,"1304140","Pierce County",3610
"1497","PA","Kiski Area School District",38184,"4212840","Kiski Area SD",3607
"1498","OH","Nordonia Hills City School District",37269,"3905004","Nordonia Hills City",3605
"1499","GA","Franklin County Board of Education",105294,"1302250","Franklin County",3604
"1500","MI","Cedar Springs Public Schools",34475,"2608520","Cedar Springs Public Schools",3597
"1501","TX","Huffman Independent School District",38989,"4823820","HUFFMAN ISD",3596
"1502","MI","Garden City Public Schools",34672,"2615540","Garden City Public Schools",3595
"1503","TX","Lake Worth Independent School District",39199,"4826490","LAKE WORTH ISD",3594
"1504","KY","Johnson County School District",33681,"2103060","Johnson County",3590
"1505","NY","East Islip Union Free School District",36415,"3609720","EAST ISLIP UNION FREE SCHOOL DISTRICT",3589
"1506","NY","Roosevelt Union Free School District",36256,"3624990","ROOSEVELT UNION FREE SCHOOL DISTRICT",3588
"1507","NY","Peekskill City School District",36473,"3622650","PEEKSKILL CITY SCHOOL DISTRICT",3587
"1508","OH","Springfield Local School District",37270,"3904822","Springfield Local",3586
"1509","TX","Springtown Independent School District",88456,"4841280","SPRINGTOWN ISD",3584
"1510","TX","Melissa Independent School District",51558,"4830120","MELISSA ISD",3580
"1511","PA","Plum Borough School District",37841,"4219350","Plum Borough SD",3580
"1512","NY","Rockville Centre Union Free School District",36277,"3624780","ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT",3578
"1513","WI","Watertown Unified School District",39989,"5515750","Watertown Unified School District",3577
"1514","CA","Beverly Hills Unified School District",145935,"0604830","Beverly Hills Unified",3572
"1515","TX","Pleasanton Independent School District",38797,"4835190","PLEASANTON ISD",3572
"1516","NY","Brighton Central School District",48507,"3605460","BRIGHTON CENTRAL SCHOOL DISTRICT",3569
"1517","OH","Maple Heights City School District",37058,"3904430","Maple Heights City",3569
"1518","GA","Appling County Board of Education",32523,"1300060","Appling County",3567
"1519","WI","Elkhorn Area School District",40083,"5504290","Elkhorn Area School District",3567
"1520","NJ","Montville Township Public Schools",45257,"3410650","Montville Township School District",3565
"1521","TX","Brownwood Independent School District",44276,"4811700","BROWNWOOD ISD",3564
"1522","NY","Elmont Union Free School District",36257,"3610620","ELMONT UNION FREE SCHOOL DISTRICT",3559
"1523","GA","Hart County Board of Education",70982,"1302730","Hart County",3559
"1524","TX","Pampa Independent School District",38958,"4834170","PAMPA ISD",3558
"1525","WI","School District of Greenfield",40017,"5505940","Greenfield School District",3552
"1526","TX","Zapata County Independent School District",51929,"4846710","ZAPATA COUNTY ISD",3549
"1527","OH","Fremont City School District",37238,"3904401","Fremont City",3548
"1528","KY","Rowan County School District",33733,"2105100","Rowan County",3548
"1529","KY","Logan County School District",33698,"2103540","Logan County",3547
"1530","CA","Mcfarland Unified School District",146364,"0624230","McFarland Unified",3547
"1531","CA","Galt Joint Union Elementary School District",42893,"0614790","Galt Joint Union Elementary",3546
"1532","NY","Hamburg Central School District",36182,"3613350","HAMBURG CENTRAL SCHOOL DISTRICT",3546
"1533","WI","School District of New Richmond",40062,"5510620","New Richmond School District",3539
"1534","OH","Amherst Exempted Village School District",37150,"3904519","Amherst Exempted Village",3534
"1535","TX","Chapel Hill Independent School District",39183,"4813650","CHAPEL HILL ISD",3528
"1536","NE","Scottsbluff Public Schools",35500,"3176470","SCOTTSBLUFF PUBLIC SCHOOLS",3527
"1537","OH","West Carrollton City School District",37194,"3904505","West Carrollton City",3525
"1538","AL","Bessemer City Board of Education",30349,"0100330","Bessemer City",3524
"1539","PA","Derry Township School District",153422,"4207590","Derry Township SD",3523
"1540","OH","Oregon City School District",37164,"3904460","Oregon City",3522
"1541","CA","Southern Kern Unified School District",146673,"0637620","Southern Kern Unified",3522
"1542","IL","Berwyn South School District 100",32900,"1706090","Berwyn South SD 100",3520
"1543","AL","Hartselle City Board of Education",30374,"0101730","Hartselle City",3519
"1544","NJ","Ewing Township School District",197028,"3404920","Ewing Township School District",3517
"1545","WI","School District of River Falls",40042,"5513050","River Falls School District",3517
"1546","GA","Butts County Board of Education",105259,"1300690","Butts County",3516
"1547","WI","Monona Grove School District",39961,"5509810","Monona Grove School District",3515
"1548","NJ","Barnegat Township School District",197022,"3416470","Barnegat Township School District",3510
"1549","AL","Russell County Board of Education",44375,"0102880","Russell County",3509
"1550","PA","Marple Newtown School District",37969,"4214760","Marple Newtown SD",3503
"1551","NJ","Roxbury Township School District",168096,"3414340","Roxbury Township School District",3502
"1552","PA","Dover Area School District",38190,"4207680","Dover Area SD",3493
"1553","OH","Whitehall City School District",42794,"3904507","Whitehall City",3492
"1554","NY","Canandaigua City School District",36314,"3606330","CANANDAIGUA CITY SCHOOL DISTRICT",3491
"1555","PA","Dubois Area School District",37943,"4207830","Dubois Area SD",3491
"1556","IL","East Maine School District 63",32917,"1713140","East Maine SD 63",3489
"1557","CA","Parlier Unified School District",146492,"0629910","Parlier Unified",3487
"1558","NV","Humboldt County School District",35530,"3200210","HUMBOLDT COUNTY SCHOOL DISTRICT",3484
"1559","TX","Argyle Independent School District",163327,"4808670","ARGYLE ISD",3483
"1560","CO","School District Fremont Re-1",32052,"0802790","Fremont Re-1",3482
"1561","MS","Picayune School District",35064,"2803630","PICAYUNE SCHOOL DISTRICT",3482
"1562","AL","Chambers County Board of Education",42607,"0100600","Chambers County",3479
"1563","MO","Warrensburg R-VI School District",35251,"2931020","WARRENSBURG R-VI",3473
"1564","FL","Washington County District School Board",32431,"1202010","WASHINGTON",3469
"1565","NJ","Hopewell Valley Regional School District",35808,"3407530","Hopewell Valley Regional School District",3467
"1566","WI","Beaver Dam Unified School District",39964,"5500960","Beaver Dam Unified School District",3466
"1567","NH","Timberlane Regional School District",35595,"3306720","Timberlane Regional School District",3466
"1568","TX","Decatur Independent School District",39258,"4816500","DECATUR ISD",3464
"1569","NY","East Syracuse Minoa Central School District",36304,"3609990","EAST SYRACUSE MINOA CENTRAL SCHOOL DISTRICT",3456
"1570","GA","Brantley County Board of Education",198257,"1300480","Brantley County",3455
"1571","MI","Southgate Community School District",34670,"2632340","Southgate Community School District",3451
"1572","MI","Fenton Area Public Schools",34410,"2614250","Fenton Area Public Schools",3450
"1573","MO","Sikeston R-6 School District",35330,"2928260","SIKESTON R-6",3438
"1574","PA","Crawford Central School District",37953,"4207080","Crawford Central SD",3437
"1575","NY","Yorktown Central School District",36478,"3631980","YORKTOWN CENTRAL SCHOOL DISTRICT",3437
"1576","TX","Palestine Independent School District",38786,"4834050","PALESTINE ISD",3436
"1577","TX","San Elizario Independent School District",43102,"4838850","SAN ELIZARIO ISD",3436
"1578","IL","Cook County School District 104",32955,"1706510","Cook County SD 130",3435
"1579","IL","Cook County School District 151",32952,"1706510","Cook County SD 130",3435
"1580","IL","Cook County School District 130",32902,"1706510","Cook County SD 130",3435
"1581","NY","Vestal Central School District",36118,"3629610","VESTAL CENTRAL SCHOOL DISTRICT",3434
"1582","CA","Duarte Unified School District",146083,"0611520","Duarte Unified",3433
"1583","PA","Gateway School District",37851,"4210620","Gateway SD",3430
"1584","OH","Wooster City School District",37308,"3910032","Wooster City",3427
"1585","PA","Abington Heights School District",38017,"4202010","Abington Heights SD",3425
"1586","MO","Hillsboro R-III School District",35246,"2914430","HILLSBORO R-III",3423
"1587","TX","Lampasas Independent School District",39067,"4826640","LAMPASAS ISD",3421
"1588","CA","Lemon Grove School District",43465,"0621330","Lemon Grove",3421
"1589","WI","School District of Milton",40055,"5509570","Milton School District",3420
"1590","PA","Shippensburg Area School District",37957,"4221570","Shippensburg Area SD",3420
"1591","OH","Lake Local School District",37255,"3904986","Lake Local",3419
"1592","UT","South Sanpete School District",39325,"4900960","South Sanpete District",3419
"1593","TX","Henderson Independent School District",39159,"4822970","HENDERSON ISD",3418
"1594","NJ","Wall Township Public School District",190497,"3416890","Wall Township Public School District",3415
"1595","OH","Westlake City School District",37067,"3904506","Westlake City",3410
"1596","CA","Bassett Unified School District",31194,"0604110","Bassett Unified",3406
"1597","NC","Transylvania County Board of Education",36667,"3704530","Transylvania County Schools",3399
"1598","PA","Upper Perkiomen School District",38099,"4224540","Upper Perkiomen SD",3396
"1599","AL","Fort Payne City Board of Education",30333,"0101560","Fort Payne City",3385
"1600","AL","Pelham City Board of Education",57508,"0100194","Pelham City",3383
"1601","CA","Ripon Unified School District",146560,"0632880","Ripon Unified",3383
"1602","CA","Lemoore Union Elementary School District",146303,"0621360","Lemoore Union Elementary",3382
"1603","PA","Penn-Delco School District",37974,"4218580","Penn-Delco SD",3381
"1604","PA","Pottstown School District",38092,"4219680","Pottstown SD",3381
"1605","OH","Sidney City School District",37251,"3910003","Sidney City",3381
"1606","PA","Franklin Regional School District",38171,"4210230","Franklin Regional SD",3378
"1607","NY","Brockport Central School District",36238,"3605580","BROCKPORT CENTRAL SCHOOL DISTRICT",3374
"1608","TX","La Vernia Independent School District",39255,"4826310","LA VERNIA ISD",3373
"1609","NY","North Tonawanda City School District",36288,"3621240","NORTH TONAWANDA CITY SCHOOL DISTRICT",3371
"1610","GA","Pike County Board of Education",189241,"1304170","Pike County",3370
"1611","GA","School District Pike County",196529,"1304170","Pike County",3370
"1612","MO","Carl Junction R-I School District",93967,"2907350","CARL JUNCTION R-I",3367
"1613","PA","Interboro School District",37968,"4212170","Interboro SD",3367
"1614","OH","South Euclid-Lyndhurst City School District",37065,"3904479","South Euclid-Lyndhurst City",3367
"1615","OK","Altus Independent School District 18",84841,"4002850","ALTUS",3366
"1616","CA","Cambrian School District",31463,"0607140","Cambrian",3366
"1617","OH","Ashtabula Area City School District",36993,"3904351","Ashtabula Area City",3365
"1618","NJ","Township of Ocean School District",185100,"3412060","Township of Ocean School District",3365
"1619","SC","School District of Williamsburg County",38373,"4503780","Williamsburg 01",3363
"1620","NV","Churchill County School District",35527,"3200030","CHURCHILL COUNTY SCHOOL DISTRICT",3361
"1621","MI","Northview Public Schools",34490,"2625950","Northview Public Schools",3358
"1622","AR","Beebe School District",30788,"0502880","BEEBE SCHOOL DISTRICT",3356
"1623","OH","Kent City School District",37222,"3904416","Kent City",3355
"1624","PA","Hollidaysburg Area School District",37888,"4211940","Hollidaysburg Area SD",3352
"1625","WI","Menasha Joint School District",40105,"5509030","Menasha Joint School District",3349
"1626","CA","Eureka Union School District",31335,"0613080","Eureka Union",3345
"1627","GA","Haralson County Board of Education",105304,"1302670","Haralson County",3345
"1628","PA","West Allegheny School District",37856,"4225200","West Allegheny SD",3340
"1629","WI","School District of Slinger",40088,"5513950","Slinger School District",3334
"1630","TX","Needville Independent School District",38939,"4832310","NEEDVILLE ISD",3331
"1631","NY","Hauppauge Union Free School District",36417,"3613980","HAUPPAUGE UNION FREE SCHOOL DISTRICT",3329
"1632","PA","Northern York County School District",47362,"4217760","Northern York County SD",3325
"1633","PA","Chartiers Valley School District",37854,"4205700","Chartiers Valley SD",3323
"1634","KY","Boyd County School District",33624,"2100620","Boyd County",3322
"1635","OH","Mansfield City School District",37230,"3904429","Mansfield City",3322
"1636","KY","Wayne County School District",33746,"2105790","Wayne County",3314
"1637","WV","Lincoln County Board of Education",39794,"5400660","LINCOLN COUNTY SCHOOLS",3312
"1638","KY","Marion County School District",33708,"2103780","Marion County",3309
"1639","AL","Monroe County Board of Education",43859,"0102400","Monroe County",3307
"1640","PA","Woodland Hills School District",37845,"4216500","Woodland Hills SD",3302
"1641","NY","Sweet Home Central School District",36171,"3628500","SWEET HOME CENTRAL SCHOOL DISTRICT",3299
"1642","SC","Edgefield County School District",168836,"4502070","Edgefield 01",3298
"1643","PA","Trinity Area School District",38165,"4223760","Trinity Area SD",3298
"1644","PA","Penn Hills School District",37839,"4218590","Penn Hills SD",3296
"1645","PA","Albert Gallatin Area School District",44210,"4202100","Albert Gallatin Area SD",3288
"1646","NE","Bennington Public Schools",190225,"3103990","BENNINGTON PUBLIC SCHOOLS",3288
"1647","IL","Oak Lawn-Hometown School District 123",32941,"1729190","Oak Lawn-Hometown SD 123",3287
"1648","NY","Glen Cove City School District",36249,"3612180","GLEN COVE CITY SCHOOL DISTRICT",3280
"1649","AL","Marion County Board of Education",44465,"0102310","Marion County",3280
"1650","WI","Ashwaubenon School District",39935,"5500540","Ashwaubenon School District",3274
"1651","MO","Union R-XI School District",35214,"2930570","UNION R-XI",3273
"1652","OH","Highland Local School District",37201,"3904849","Highland Local",3268
"1653","TX","Burkburnett Independent School District",39243,"4812120","BURKBURNETT ISD",3263
"1654","MI","Marquette Area Public Schools",34531,"2600013","Marquette Area Public Schools",3262
"1655","MS","Neshoba County School District",35056,"2803060","NESHOBA COUNTY SCHOOL DISTRICT",3261
"1656","OH","Piqua City School District",42792,"3904464","Piqua City",3261
"1657","AL","Dale County Board of Education",44986,"0101050","Dale County",3259
"1658","PA","Daniel Boone Area School District",46553,"4207290","Daniel Boone Area SD",3254
"1659","TX","Beeville Independent School District",38806,"4809720","BEEVILLE ISD",3253
"1660","FL","Holmes County District School Board",32397,"1200900","HOLMES",3252
"1661","NJ","Lodi Board of Education",42511,"3408850","Lodi School District",3248
"1662","NY","Rye City School District",47517,"3625260","RYE CITY SCHOOL DISTRICT",3248
"1663","NY","Whitesboro Central School District",36299,"3631320","WHITESBORO CENTRAL SCHOOL DISTRICT",3245
"1664","IL","Jacksonville School District 117",33099,"1720280","Jacksonville SD 117",3244
"1665","AL","Bibb County Board of Education",43148,"0100360","Bibb County",3243
"1666","NY","Fulton City School District",36338,"3611700","FULTON CITY SCHOOL DISTRICT",3242
"1667","PA","Pottsgrove School District",43243,"4219650","Pottsgrove SD",3241
"1668","TX","Mineral Wells Independent School District",39132,"4830950","MINERAL WELLS ISD",3237
"1669","KY","Clay County School District",33645,"2101230","Clay County",3235
"1670","MI","Warren Woods Public Schools",34511,"2635220","Warren Woods Public Schools",3233
"1671","CA","Fruitvale Elementary School District",67308,"0614700","Fruitvale Elementary",3232
"1672","MI","Thornapple Kellogg School District",34346,"2633810","Thornapple Kellogg School District",3230
"1673","TX","La Feria Independent School District",38856,"4826040","LA FERIA ISD",3229
"1674","PA","Pittston Area School District",38064,"4219200","Pittston Area SD",3229
"1675","OH","Sandusky City School District",45437,"3904474","Sandusky City",3224
"1676","OR","Dallas School District",86678,"4103860","Dallas SD 2",3222
"1677","NY","Roslyn Union Free School District",59262,"3625050","ROSLYN UNION FREE SCHOOL DISTRICT",3218
"1678","NY","Eastchester Union Free School District",47488,"3610080","EASTCHESTER UNION FREE SCHOOL DISTRICT",3216
"1679","UT","Morgan County School District",102409,"4900570","Morgan District",3216
"1680","CA","Newman-Crows Landing Unified School District",91068,"0627200","Newman-Crows Landing Unified",3210
"1681","NC","Cherokee County Board of Education",41082,"3700780","Cherokee County Schools",3206
"1682","PA","School District of Upper Moreland Township",168782,"4224510","Upper Moreland Township SD",3202
"1683","NY","Amityville Union Free School District",36397,"3602940","AMITYVILLE UNION FREE SCHOOL DISTRICT",3201
"1684","PA","Chichester School District",37976,"4205910","Chichester SD",3200
"1685","TX","Hidalgo Independent School District",39016,"4823100","HIDALGO ISD",3199
"1686","NH","Hudson School District",35585,"3303930","Hudson School District",3197
"1687","MI","Dewitt Public Schools",161493,"2611550","DeWitt Public Schools",3196
"1688","GA","Morgan County Board of Education",105334,"1303780","Morgan County",3196
"1689","OH","Ashland City School District",36989,"3904350","Ashland City",3191
"1690","NY","Manhasset Union Free School District",36266,"3618270","MANHASSET UNION FREE SCHOOL DISTRICT",3189
"1691","CA","San Benito High School District",146588,"0634140","San Benito High",3188
"1692","PA","Mckeesport Area School District",37835,"4214940","McKeesport Area SD",3186
"1693","TX","Fredericksburg Independent School District",47631,"4819840","FREDERICKSBURG ISD",3182
"1694","GA","Worth County Board of Education",189268,"1305850","Worth County",3181
"1695","GA","School District Worth County",196537,"1305850","Worth County",3181
"1696","GA","Berrien County Board of Education",189185,"1300390","Berrien County",3180
"1697","GA","School District Berrien County",196506,"1300390","Berrien County",3180
"1698","NJ","Robbinsville Board of Education",168094,"3417100","Robbinsville Public Schools",3176
"1699","NY","Jericho Union Free School District",48213,"3615810","JERICHO UNION FREE SCHOOL DISTRICT",3173
"1700","KY","Allen County School District",33611,"2100070","Allen County",3172
"1701","WI","School District of Onalaska",41872,"5511010","Onalaska School District",3171
"1702","GA","Cook County Board of Education",189199,"1301470","Cook County",3170
"1703","GA","School District Cook County",196510,"1301470","Cook County",3170
"1704","KY","Spencer County School District",33737,"2105490","Spencer County",3169
"1705","WI","Cedarburg School District",47473,"5502460","Cedarburg School District",3167
"1706","CA","Redding Elementary School District",146542,"0632040","Redding Elementary",3165
"1707","OH","Zanesville City School District",49180,"3904517","Zanesville City",3165
"1708","NY","Queensbury Union Free School District",36453,"3624030","QUEENSBURY UNION FREE SCHOOL DISTRICT",3163
"1709","MI","Kenowa Hills Public Schools",34491,"2620280","Kenowa Hills Public Schools",3161
"1710","PA","Southern Lehigh School District",47347,"4222350","Southern Lehigh SD",3161
"1711","KY","Simpson County School District",33736,"2105400","Simpson County",3158
"1712","AL","Cullman City Board of Education",30328,"0100990","Cullman City",3157
"1713","TX","La Vega Independent School District",169009,"4826280","LA VEGA ISD",3148
"1714","NC","Anson County Board of Education",36494,"3700180","Anson County Schools",3147
"1715","NY","Cornwall Central School District",36321,"3608430","CORNWALL CENTRAL SCHOOL DISTRICT",3147
"1716","CA","Lowell Joint School District",31225,"0623010","Lowell Joint",3147
"1717","PA","New Castle Area School District",38044,"4216620","New Castle Area SD",3141
"1718","TX","Athens Independent School District",39009,"4808870","ATHENS ISD",3136
"1719","CA","Cabrillo Unified School District",145980,"0606780","Cabrillo Unified",3136
"1720","WI","Tomah Area School District",40025,"5514910","Tomah Area School District",3136
"1721","MI","Ferndale Public Schools",34577,"2614280","Ferndale Public Schools",3135
"1722","PA","Twin Valley School District",37886,"4224000","Twin Valley SD",3134
"1723","OH","Hamilton Local School District",47574,"3904695","Hamilton Local",3130
"1724","WI","Burlington Area School District",40048,"5501890","Burlington Area School District",3125
"1725","UT","Millard School District",39320,"4900540","Millard District",3125
"1726","MI","Cadillac Area Public Schools",34695,"2607590","Cadillac Area Public Schools",3123
"1727","OH","New Philadelphia City School District",37287,"3904448","New Philadelphia City",3119
"1728","MI","South Redford School District",34684,"2632280","South Redford School District",3118
"1729","TX","Taylor Independent School District",43027,"4842280","TAYLOR ISD",3117
"1730","NY","Brewster Central School District",82202,"3605310","BREWSTER CENTRAL SCHOOL DISTRICT",3116
"1731","CA","Rim of the World Unified School District",146555,"0632610","Rim of the World Unified",3116
"1732","PA","Gettysburg Area School District",37824,"4210710","Gettysburg Area SD",3115
"1733","NY","East Irondequoit Central School District",36230,"3609690","EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT",3114
"1734","KY","Russell Independent School District",33668,"2105160","Russell County",3114
"1735","KY","Russell County School District",33734,"2105160","Russell County",3114
"1736","NY","Burnt Hills-Ballston Lake Central School District",36371,"3605940","BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT",3112
"1737","CA","Pacifica School District",31445,"0620460","Pacifica",3110
"1738","MS","Natchez-Adams School District",45138,"2803030","NATCHEZ-ADAMS SCHOOL DISTRICT",3104
"1739","PA","West Jefferson Hills School District",37847,"4225590","West Jefferson Hills SD",3104
"1740","NJ","Greater Egg Harbor Regional High School District",35707,"3406060","Greater Egg Harbor Regional High School District",3103
"1741","TX","Kingsville Independent School District",46466,"4825680","KINGSVILLE ISD",3102
"1742","OH","Northeastern Local School District",37025,"3904625","Northeastern Local",3097
"1743","PA","York Suburban School District",49626,"4226850","York Suburban SD",3094
"1744","MO","Festus R-VI School District",62313,"2912030","FESTUS R-VI",3093
"1745","MS","Laurel School District",35031,"2802460","LAUREL SCHOOL DISTRICT",3091
"1746","NJ","Flemington-Raritan Regional School District",35804,"3405190","Flemington-Raritan Regional School District",3087
"1747","CA","Arvin Union School District",44477,"0603270","Arvin Union",3086
"1748","OH","Alliance City School District",37252,"3904349","Alliance City",3084
"1749","GA","Jeff Davis County Board of Education",105312,"1303000","Jeff Davis County",3084
"1750","GA","School District Jeff Davis County",170415,"1303000","Jeff Davis County",3084
"1751","GA","Washington County Board of Education",71043,"1305490","Washington County",3084
"1752","UT","San Juan School District",39324,"4900900","San Juan District",3083
"1753","CA","Dixon Unified School District",146078,"0611280","Dixon Unified",3081
"1754","KY","Calloway County School District",33631,"2100870","Calloway County",3079
"1755","MO","Meramec Valley R-III School District",45475,"2923460","MERAMEC VALLEY R-III",3079
"1756","NJ","Hamilton Township Board of Education",168052,"3406510","Hamilton Township School District",3075
"1757","NJ","Hamilton Township School District",168053,"3406510","Hamilton Township School District",3075
"1758","FL","Bradford County District School Board",32372,"1200120","BRADFORD",3072
"1759","TX","Bridge City Independent School District",88092,"4811310","BRIDGE CITY ISD",3072
"1760","NY","Carthage Central School District",36213,"3606630","CARTHAGE CENTRAL SCHOOL DISTRICT",3072
"1761","OR","Crook County School District",85439,"4103720","Crook County SD",3071
"1762","OK","Guymon Public Schools",94008,"4013590","GUYMON",3070
"1763","GA","Elbert County Board of Education",105288,"1302010","Elbert County",3068
"1764","OH","Wapakoneta City School District",37005,"3904498","Wapakoneta City",3067
"1765","GA","School District Ben Hill County",105251,"1300360","Ben Hill County",3065
"1766","CA","Coronado Unified School District",146049,"0609870","Coronado Unified",3063
"1767","TX","Gainesville Independent School District",38886,"4820220","GAINESVILLE ISD",3061
"1768","GA","Dodge County Board of Education",189201,"1301770","Dodge County",3060
"1769","GA","School District Dodge County",196512,"1301770","Dodge County",3060
"1770","AL","Covington County Board of Education",30327,"0100930","Covington County",3056
"1771","MI","Owosso Public Schools",34642,"2627210","Owosso Public Schools",3055
"1772","NY","Amherst Central School District",36190,"3602920","AMHERST CENTRAL SCHOOL DISTRICT",3047
"1773","PA","Lampeter-Strasburg School District",48408,"4213110","Lampeter-Strasburg SD",3047
"1774","CA","Orange County Department of Education",67659,"0691024","Orange County Department of Education",3047
"1775","PA","Manheim Central School District",38032,"4214550","Manheim Central SD",3046
"1776","MO","Windsor C-1 School District",35248,"2932100","WINDSOR C-1",3040
"1777","NJ","Delran Township School District",168035,"3403780","Delran Township School District",3038
"1778","PA","Eastern Lancaster County School District",38040,"4208820","Eastern Lancaster County SD",3038
"1779","TX","Seminole Independent School District",38947,"4839750","SEMINOLE ISD",3038
"1780","AL","Alexander City Board of Education",30388,"0100030","Alexander City",3036
"1781","OH","Aurora City School District",50019,"3904917","Aurora City",3027
"1782","PA","Greencastle-Antrim School District",37999,"4211010","Greencastle-Antrim SD",3027
"1783","MI","St. Joseph Public Schools",64918,"2632850","St. Joseph Public Schools",3025
"1784","WI","School District of South Milwaukee",40022,"5514040","South Milwaukee School District",3021
"1785","WI","School District of Whitefish Bay",40014,"5516620","Whitefish Bay School District",3018
"1786","TX","Navasota Independent School District",38969,"4832190","NAVASOTA ISD",3017
"1787","CA","Riverbank Unified School District",146562,"0600061","Riverbank Unified",3012
"1788","MI","Ionia Public Schools",34449,"2619250","Ionia Public Schools",3011
"1789","NY","South Orangetown Central School District",36362,"3627450","SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT",3011
"1790","WI","Pewaukee School District",89556,"5511640","Pewaukee School District",3010
"1791","NH","Windham School District",35593,"3307170","Windham School District",3010
"1792","NJ","West Deptford Township School District",197074,"3417430","West Deptford Township School District",3007
"1793","GA","Putnam County Board of Education",189245,"1304260","Putnam County",3006
"1794","GA","School District Putnam County",196531,"1304260","Putnam County",3006
"1795","NC","Ashe County Board of Education",36495,"3700210","Ashe County Schools",3005
"1796","NC","Newton Conover City Board of Education",36521,"3703360","Newton Conover City Schools",3001
"1797","OH","Tri-Valley Local School District",37206,"3904887","Tri-Valley Local",3001
"1798","TX","Columbia-Brazoria Independent School District",38839,"4814670","COLUMBIA-BRAZORIA ISD",3000
"1799","OH","Madison Local School District",37134,"3904788","Madison Local",3000
"1800","NY","Harborfields Central School District",36410,"3613620","HARBORFIELDS CENTRAL SCHOOL DISTRICT",2999
"1801","KY","Harrison County School District",33670,"2102580","Harrison County",2998
"1802","PA","Donegal School District",38035,"4207650","Donegal SD",2993
"1803","KY","Letcher County School District",33694,"2103360","Letcher County",2993
"1804","GA","Toombs County Board of Education",105369,"1305040","Toombs County",2992
"1805","NJ","Vernon Township School District",168120,"3416710","Vernon Township School District",2985
"1806","PA","North Pocono School District",38024,"4217310","North Pocono SD",2980
"1807","PA","Cocalico School District",38027,"4206270","Cocalico SD",2979
"1808","NJ","Voorhees Township School District",197066,"3416830","Voorhees Township School District",2976
"1809","NY","Hewlett-Woodmere Union Free School District",36093,"3631710","HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT",2975
"1810","TX","Kennedale Independent School District",39197,"4825500","KENNEDALE ISD",2975
"1811","TX","Greenwood Independent School District",53218,"4821750","GREENWOOD ISD",2972
"1812","NJ","Manchester Township School District",197275,"3409450","Manchester Township School District",2972
"1813","NY","Starpoint Central School District",36289,"3628050","STARPOINT CENTRAL SCHOOL DISTRICT",2972
"1814","AR","White Hall School District",188499,"0514140","WHITE HALL SCHOOL DISTRICT",2970
"1815","PA","Bangor Area School District",38105,"4203000","Bangor Area SD",2969
"1816","WV","Hampshire County Board of Education",57139,"5400420","HAMPSHIRE COUNTY SCHOOLS",2968
"1817","PA","Montour School District",46752,"4215720","Montour SD",2968
