"","state.abb","county","census_id","id.x","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","id.y","state.name","population"
"409","PR","Caguas",NA,87565,2020,"General Purpose",440868707,165871092,21768251,0,5000000,0,216098495,0,5515908,0,14164187,2655387,40697508,175702,104921847,5469439,142981005,0,0,0,148450444,FALSE,"0500000US72025","Puerto Rico",127244
"410","LA","Ascension Parish","19100300300000",94807,2020,"General Purpose",147350851,115689580,18442952,0,0,0,7055763,1622506,1430546,0,2959105,14310726,8624309,11620371,99879630,23957472,110477564,0,0,0,134435036,FALSE,"0500000US22005","Louisiana",126500
"411","AZ","Cochise County","3100200200000",31613,2020,"General Purpose",120779044,0,9443798,0,0,0,101089212,0,232921,932629,6051162,13570433,35331496,368101,62485995,4387441,107368584,0,0,0,111756025,FALSE,"0500000US04003","Arizona",125447
"412","OH","Richland County","36107007000000",84217,2020,"General Purpose",137625917,24245198,6579624,1702976,847044,0,56918297,507555,39531135,46764,5007812,18543445,50922215,3238734,53767269,3085490,123386173,0,0,0,126471663,FALSE,"0500000US39139","Ohio",124936
"413","TX","Gregg County","44109209200000",38628,2020,"General Purpose",9482812,0,4042163,1343,0,0,4055515,0,0,0,1383791,9770591,2620919,1639363,42598820,-809501,57439194,0,0,0,56629693,FALSE,"0500000US48183","Texas",124239
"414","ID","Bonneville County","13101001000000",111567,2020,"General Purpose",23083321,26124,738773,0,0,0,18028814,0,0,0,1830491,18933833,11248551,310827,54662161,7724320,77431052,0,0,0,85155372,FALSE,"0500000US16019","Idaho",123964
"415","AL","Morgan County","1105205200000",96004,2020,"General Purpose",47922739,2101954,3280101,478315,0,49014,10418871,0,8934369,0,1255115,10810668,15640857,2522614,24632860,5756519,47850480,308312291,3774414,0,312086705,FALSE,"0500000US01103","Alabama",123421
"416","AR","Saline County","4106306300000",66923,2020,"General Purpose",7446621,42150000,7446621,7120534,0,271364,18800788,0,0,0,0,0,0,0,52582831,-5603847,58186678,0,0,0,52582831,FALSE,"0500000US05125","Arkansas",123416
"417","PA","Blair County","39100700700000",45491,2020,"General Purpose",126975404,14810000,4458037,0,0,7888289,91361586,0,6659208,0,1798285,5125356,42327951,0,37179410,9558192,75074525,0,0,0,84632717,FALSE,"0500000US42013","Pennsylvania",122822
"418","MO","Jasper County","26104904900000",35115,2020,"General Purpose",0,0,0,36950000,0,0,0,0,0,0,674886,5988014,15836050,0,57115061,23545820,55393305,0,0,0,78939125,FALSE,"0500000US29097","Missouri",122761
"419","WV","Berkeley County","49100200200000",130868,2020,"General Purpose",35827429,28908412,203143,1863724,0,0,2796945,0,645169,0,945060,11071279,3346635,175077,31925659,7557798,38960852,0,0,0,46518650,FALSE,"0500000US54003","West Virginia",122076
"420","NM","San Juan County","32102402400000",35915,2020,"General Purpose",138119832,29631614,5975488,0,11826519,0,65088739,0,21498659,0,3912931,11921716,15490557,94878,75539855,-11733815,114780821,0,0,0,103047006,FALSE,"0500000US35045","New Mexico",121661
"421","OK","Comanche County","37101601600000",98467,2020,"General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26692769,842798,25849971,0,0,0,26692769,FALSE,"0500000US40031","Oklahoma",121125
"422","WI","La Crosse County","50103203200000",39846,2020,"General Purpose",116789085,59670598,15617238,0,8271634,12360000,0,10340841,2674542,0,9202928,54029521,40896714,4856703,55658639,16665438,138776139,0,0,0,155441577,FALSE,"0500000US55063","Wisconsin",120784
"423","MI","Allegan County","23100300300000",34246,2020,"General Purpose",36919907,20970000,5841494,3333284,0,0,4250287,0,0,0,1767676,18626452,20795189,647783,29871935,8164406,61776953,0,0,0,69941359,FALSE,"0500000US26005","Michigan",120502
"424","TX","Tom Green County","44122622600000",88480,2020,"General Purpose",76704458,65754973,4985959,0,0,0,1351044,0,1069306,0,1982563,9961204,4296796,0,51490964,7890696,57858268,0,0,0,65748964,FALSE,"0500000US48451","Texas",120003
"425","GA","Fayette County","11105605600000",50297,2020,"General Purpose",87916248,62119904,7007951,0,0,0,14148013,0,633662,0,3279232,29322541,1171491,4822644,92934353,7851756,120399273,0,0,0,128251029,FALSE,"0500000US13113","Georgia",119194
"426","GA","Carroll County","11102202200000",70765,2020,"General Purpose",20393889,7581720,6144501,3316000,0,0,1070014,0,0,0,1015932,14542512,999725,3073457,73277062,16442512,75450244,0,0,0,91892756,FALSE,"0500000US13045","Georgia",119148
"427","KS","Douglas County","17102302300000",33449,2020,"General Purpose",0,33155000,0,0,0,0,35801701,0,0,0,4765084,0,0,0,182097051,36918373,145178678,0,0,0,182097051,FALSE,"0500000US20045","Kansas",118785
"428","TX","Potter County","44118818800000",88415,2020,"General Purpose",102002003,76857217,4296623,1151004,0,0,14396542,0,3375676,0,1924941,5329436,5002592,579788,63715049,6076502,68550363,0,0,0,74626865,FALSE,"0500000US48375","Texas",118525
"429","GA","Lowndes County","11109209200000",32455,2020,"General Purpose",103730852,8296623,9852167,147090,0,694890,22393102,0,59936692,0,1529355,20651626,2326113,4508029,87340234,8867262,105958740,0,0,0,114826002,FALSE,"0500000US13185","Georgia",118251
"430","WI","Sheboygan County","50106006000000",39869,2020,"General Purpose",51552755,5014071,11675587,0,0,24730000,0,9309530,3433433,0,6699666,21199186,38936103,2064756,68740954,10990310,119950689,0,0,0,130940999,FALSE,"0500000US55117","Wisconsin",118034
"431","MT","Missoula County","27103203200000",35366,2020,"General Purpose",170314590,82203469,9130357,9502445,4774000,9466407,40176547,0,2404234,0,6184037,22414632,10313028,0,69435309,5787137,96375832,0,0,0,102162969,FALSE,"0500000US30063","Montana",117922
"432","NY","Oswego County","33103803500000",55755,2020,"General Purpose",388423787,27028004,17135083,413975,0,0,52529784,0,244904738,0,7289211,28629383,50721917,7269588,133106003,-19545613,239272504,0,0,0,219726891,FALSE,"0500000US36075","New York",117525
"433","NC","Wayne County","34109609600000",36683,2020,"General Purpose",148376513,30920000,4017483,0,0,0,19237919,163353,38911884,0,2537896,23410024,29552849,125000,88486215,709114,140864974,5095510,505205,0,141574088,FALSE,"0500000US37191","North Carolina",117333
"434","OH","Wayne County","36108508500000",84712,2020,"General Purpose",89018529,3873478,8064262,500408,1574890,2000000,41487314,0,28113609,93186,3404568,13375165,30239982,5002368,45260448,6847887,87030076,949728,234633,0,93877963,FALSE,"0500000US39169","Ohio",116894
"435","NY","Jefferson County","33102302200000",35990,2020,"General Purpose",559900575,18298020,23014812,4092819,0,0,42011239,0,466806207,0,2444110,18760129,42016551,20203469,153338434,1026339,233292244,0,0,0,234318583,FALSE,"0500000US36045","New York",116721
"436","NC","Robeson County","34107807800000",36642,2020,"General Purpose",153627054,13986410,2596184,33736519,0,0,16731813,142000,62688078,0,5425331,36367469,34495686,407265,88107348,-2253044,161630812,0,0,0,159377768,FALSE,"0500000US37155","North Carolina",116530
"437","AL","Calhoun County","1100800800000",91384,2020,"General Purpose",32105145,0,2105885,3643581,0,0,9651919,0,9084870,0,2865125,7897583,9269338,520958,27069675,8824781,35932774,267441870,3332585,0,270774455,FALSE,"0500000US01015","Alabama",116441
"438","NC","Henderson County","34104504500000",36579,2020,"General Purpose",242080295,160278698,2778058,0,0,0,21535807,0,21660306,0,3223475,20400652,20766531,415200,138934577,-7612997,188129957,0,0,0,180516960,FALSE,"0500000US37089","North Carolina",116281
"439","FL","Flagler County","10101801800000",45904,2020,"General Purpose",247070076,80018421,18477058,15137827,0,22241383,101286054,0,5905479,0,3975833,29275643,21025095,6323710,91211078,-1126750,148962276,0,0,0,147835526,FALSE,"0500000US12035","Florida",115378
"440","MD","St. Mary's County","21101901800000",96909,2020,"General Purpose",264187368,112484000,44397448,4156908,1104015,0,85420753,0,6181171,0,6983073,7497731,11650351,8933693,267650238,35592028,260139985,0,0,0,295732013,FALSE,"0500000US24037","Maryland",113777
"441","GA","Newton County","11110710700000",32458,2020,"General Purpose",88727081,43591834,9007029,469393,0,16071370,2505316,0,0,0,2723265,26026520,5898902,1521154,81219100,12362599,102303077,0,0,0,114665676,FALSE,"0500000US13217","Georgia",112483
"442","NY","Ontario County","33305900800000",82334,2020,"General Purpose",149152093,49891323,24246703,0,0,0,55615148,0,0,0,6360092,21371087,41355511,5651481,160803800,-7048575,236230454,0,0,0,229181879,FALSE,"0500000US36069","New York",112458
"443","VA","Albemarle County","47100200200000",88650,2020,"General Purpose",244578119,168144143,17616327,0,0,0,33652890,0,16172724,0,5134281,6941197,35938814,763951,287248806,3317276,327575492,0,0,0,330892768,FALSE,"0500000US51003","Virginia",112395
"444","AR","Craighead County","4101601600000",96080,2020,"General Purpose",4074553,0,4074553,0,0,0,18142161,0,0,0,1410424,0,0,0,33378012,5190887,28187125,0,0,0,33378012,FALSE,"0500000US05031","Arkansas",111231
"445","OR","Douglas County","38101001000000",103176,2020,"General Purpose",138946820,0,15172538,0,0,153000,93355119,0,5110359,0,2338534,32731560,31102167,7319678,26153522,-3710729,101017656,0,0,0,97306927,FALSE,"0500000US41019","Oregon",111201
"446","WA","Cowlitz County","48100800800000",39529,2020,"General Purpose",98577404,35194141,9630203,146416,0,3744524,9966479,3027490,9726117,0,4657177,53335417,17361786,4167034,58560121,13110870,120313488,0,0,0,133424358,FALSE,"0500000US53015","Washington",110730
"447","PA","Mercer County","39104304300000",42646,2020,"General Purpose",31880330,19155000,6556158,0,0,0,0,21367428,0,0,21488,4924356,38344976,1630811,30511634,9622411,65789366,0,0,0,75411777,FALSE,"0500000US42085","Pennsylvania",110652
"448","VA","Hanover County","47104304300000",93537,2020,"General Purpose",235111860,161464578,27311185,4019105,0,0,20343463,0,6166456,527039,10841225,49130355,19955541,22111075,229353157,32076147,288473981,0,0,0,320550128,FALSE,"0500000US51085","Virginia",109979
"449","NJ","Warren County","31102102100000",35638,2020,"General Purpose",88051857,3530000,0,0,15724,0,77977916,0,328169741,0,0,0,0,0,117844896,12646428,105198468,0,0,0,117844896,FALSE,"0500000US34041","New Jersey",109632
"450","LA","Terrebonne Parish",NA,33811,2020,"General Purpose",376803160,158440084,51841327,0,0,0,19368031,1668651,70816156,0,2161120,60228441,39319833,7185478,95884877,876520,201742109,33554692,131326,0,202618629,FALSE,"0500000US22109","Louisiana",109580
"451","SD","Pennington County","42105205100000",38384,2020,"General Purpose",73932606,0,10379602,898417,0,0,0,82434,4758015,0,4077522,22236790,30187587,0,51660779,16415765,87669390,792159011,0,0,792159011,FALSE,"0500000US46103","South Dakota",109222
"452","MI","Eaton County","23102302300000",34258,2020,"General Purpose",143202279,11035000,8225072,0,0,0,63153822,0,39569158,0,0,26182608,14676969,0,30453678,-386756,71700011,0,0,0,71313255,FALSE,"0500000US26045","Michigan",109175
"453","GA","Bartow County","11100800800000",48715,2020,"General Purpose",266238592,4672617,12647435,402256,0,11045047,53694365,0,134588804,0,1541753,38768543,8894899,7794203,98819606,-15618122,169895373,0,0,0,154277251,FALSE,"0500000US13015","Georgia",108901
"454","OH","Miami County","36105505500000",36898,2020,"General Purpose",106205714,14164039,8729112,0,4432448,0,42676883,0,29243767,0,3650836,33596343,27429670,11889078,41844282,15349104,99410269,2379647,0,631786,114759373,FALSE,"0500000US39109","Ohio",108774
"455","TN","Bradley County","43100600600000",197413,2020,"General Purpose",79484248,22430623,2124061,14997802,32800380,0,0,4543916,5121277,0,2010105,14260759,7515084,278713,45188444,6293168,60949832,0,0,0,67243000,FALSE,"0500000US47011","Tennessee",108620
"456","NY","St. Lawrence County","33104504000000",122013,2020,"General Purpose",454506111,30734915,30825179,1661998,0,0,43499166,0,309076091,0,8096165,30763482,56815790,7757646,124546193,16433268,203449843,0,0,0,219883111,FALSE,"0500000US36089","New York",108505
"457","MO","Cass County","26101901900000",43193,2020,"General Purpose",61357916,20149757,6023915,496113,0,0,6715971,0,0,0,409244,4651028,14815836,33239,37693619,11249072,45944650,0,0,0,57193722,FALSE,"0500000US29037","Missouri",107824
"458","TX","Rockwall County","44119919900000",88429,2020,"General Purpose",180200040,108265000,4969463,0,0,52624395,0,2133512,13543465,0,797717,6457701,1035240,15550,43514855,4705,51018641,0,0,0,51023346,FALSE,"0500000US48397","Texas",107819
"459","OR","Yamhill County","38103603600000",103201,2020,"General Purpose",55039055,0,4659845,3217586,9301185,0,32968130,0,1535828,542584,1938331,35140422,28460039,0,30148378,-5434869,99183708,0,0,0,93748839,FALSE,"0500000US41071","Oregon",107722
"460","IL","Kankakee County","14104604600000",32772,2020,"General Purpose",43152736,8452064,6651564,2027348,0,737155,18820732,0,5014340,0,1449533,22119559,11060790,160638,35394021,4809454,63925554,0,0,0,68735008,FALSE,"0500000US17091","Illinois",107502
"461","AK","Matanuska-Susitna Borough","2101300700000",110771,2020,"General Purpose",431820343,280418618,43737700,1307105,17795986,6527256,42530827,0,1449772,265942,3754471,20031607,10790050,7443276,182715849,31104613,189876169,0,0,0,220980782,FALSE,"0500000US02170","Alaska",107081
"462","MN","Carver County","24101001000000",34710,2020,"General Purpose",82477870,11353207,10665044,0,818516,10606000,43129045,0,0,2430959,5906058,16799569,46687336,26322183,79390297,36218150,132981235,0,0,0,169199385,FALSE,"0500000US27019","Minnesota",106922
"463","MO","Platte County","26108308300000",35140,2020,"General Purpose",38075535,13814410,12480985,4971516,0,0,6666522,3819801,0,0,142102,11339713,8892764,14392487,38159677,21781054,51003587,0,0,0,72784641,FALSE,"0500000US29165","Missouri",106718
"464","AZ","Navajo County","3100900900000",43282,2020,"General Purpose",78488183,0,3662120,4131,10975000,0,60100666,1056916,182242,0,1937408,7297669,31731377,125480,42935380,17438337,64651569,0,0,0,82089906,FALSE,"0500000US04017","Arizona",106717
"465","WI","Walworth County","50106506500000",42581,2020,"General Purpose",16007809,0,12953474,0,0,0,0,10408324,0,20602800,3054335,21291951,30639092,32406,75881939,13377254,114468134,0,0,0,127845388,FALSE,"0500000US55127","Wisconsin",106478
"466","IN","Vigo County","15108408400000",93296,2020,"General Purpose",105649764,82715936,4936173,1420864,0,0,14966154,0,926417,0,684220,11688412,10375422,0,84262531,18729518,87596845,0,0,0,106326365,FALSE,"0500000US18167","Indiana",106153
"467","IA","Woodbury County","16109709700000",33316,2020,"General Purpose",24113915,1125000,3717065,272482,0,5650787,8338283,0,3596490,0,1413808,4365742,8403741,2070160,41389688,1101354,55127977,7863330,0,0,56229331,FALSE,"0500000US19193","Iowa",105941
"468","NY","Tompkins County","33105505000000",36011,2020,"General Purpose",236780669,55785133,18347828,234971,0,0,42096746,0,93460456,0,4080334,19467971,50078584,25552639,110670472,-2861680,208631346,147462,0,0,205769666,FALSE,"0500000US36109","New York",105740
"469","WI","Eau Claire County","50101801800000",42579,2020,"General Purpose",105871086,87910815,9857028,862783,71934,0,0,6630773,2049196,0,3194412,24672584,34961802,825927,54418184,9803816,105074681,0,0,0,114878497,FALSE,"0500000US55035","Wisconsin",105710
"470","SC","Sumter County","41104304300000",38273,2020,"General Purpose",146524777,35056712,6220129,82165,4896000,0,48574631,0,46471988,0,2325520,16533352,5297569,1469030,66785433,4449665,85635719,0,0,0,90085384,FALSE,"0500000US45085","South Carolina",105556
"471","MT","Flathead County","27101501500000",35360,2020,"General Purpose",57228933,7116524,4271962,225016,0,0,29685367,0,124981,0,4232806,20200964,14058891,1212766,51901868,16385036,70989453,0,0,0,87374489,FALSE,"0500000US30029","Montana",104357
"472","IL","Macon County","14105805800000",47075,2020,"General Purpose",16044067,0,4087055,0,0,0,8077256,355547,1397058,0,1582240,7325863,16239612,3561844,33901869,3849968,57179220,5260493,47351,0,61029188,FALSE,"0500000US17115","Illinois",103998
"473","MI","Bay County","23100900900000",34248,2020,"General Purpose",120092153,27673693,9876770,317600,23115000,0,0,42072290,56736071,0,2373019,34540755,17050399,22783,29654306,4875033,76393210,21863484,5347608,0,81268243,FALSE,"0500000US26017","Michigan",103856
"474","PA","Adams County","39100100100000",43134,2020,"General Purpose",86965810,79240394,5548145,0,0,0,0,7735189,121607,0,1282299,8380769,26622635,0,43713423,23090724,55626103,0,0,0,78716827,FALSE,"0500000US42001","Pennsylvania",103852
"475","MD","Cecil County","21100800700000",33959,2020,"General Purpose",387253664,281761563,38633026,5278492,0,0,41783074,0,0,3203465,3290378,33978318,23668531,15639727,194928232,25513416,242701392,0,0,0,268214808,FALSE,"0500000US24015","Maryland",103725
"476","MD","Wicomico County","21102302200000",64900,2020,"General Purpose",215322000,115304395,11070361,3787052,48967,0,68582645,0,0,2860819,4296694,28909225,19092598,0,131046675,5025393,174023105,8549473,1503626,0,179048498,FALSE,"0500000US24045","Maryland",103588
"477","AL","Limestone County","1104204200000",94062,2020,"General Purpose",45768558,0,2212390,43355,0,2312456,15442429,0,10008260,0,1857314,5278285,7717461,3202787,25548357,5589771,36157119,0,0,0,41746890,FALSE,"0500000US01083","Alabama",103570
"478","AL","Etowah County","1102802800000",31553,2020,"General Purpose",54675376,0,2088138,0,0,1714403,11447235,0,11628682,0,1701519,13182376,13876328,535530,19907622,3007072,44494784,0,0,0,47501856,FALSE,"0500000US01055","Alabama",103436
"479","KY","Daviess County","18103003000000",43915,2020,"General Purpose",0,14430000,0,0,1003694,0,0,0,0,0,0,9321804,15018752,0,35851113,929865,59261804,0,0,0,60191669,FALSE,"0500000US21059","Kentucky",103312
"480","GA","Whitfield County","11115515500000",91392,2020,"General Purpose",61313356,2987000,7015943,0,0,501646,13021315,0,9427500,0,1859952,7787908,7574178,3224402,56590521,-1870067,77047076,0,0,0,75177009,FALSE,"0500000US13313","Georgia",102864
"481","CA","Nevada County","5102902900000",31699,2020,"General Purpose",299413697,18275954,15997857,0,29177973,0,198798555,0,24084000,0,8684116,34020912,103765237,2913105,64088267,4762893,200024628,1787266,554252,0,204787521,FALSE,"0500000US06057","California",102241
"482","OH","Allen County","36100200200000",82438,2020,"General Purpose",114840394,454018,3796133,7570405,21827673,0,46202266,453077,31332077,31593,3657822,21995055,34374434,1510789,40676084,8707418,89848944,0,0,0,98556362,FALSE,"0500000US39003","Ohio",102206
"483","OH","Columbiana County","36101501500000",44819,2020,"General Purpose",79976762,19822023,4593632,35723,1524804,0,30082704,191142,19712647,73525,4205229,11219731,35200575,1240471,38304717,10030924,75934570,0,0,0,85965494,FALSE,"0500000US39029","Ohio",101877
"484","FL","Highlands County","10102802800000",32236,2020,"General Purpose",149212569,0,10470020,0,0,22714207,101151611,0,1443612,0,5387894,37786184,6217641,6697061,75786933,-7743836,134231655,0,0,0,126487819,FALSE,"0500000US12055","Florida",101235
"485","TN","Maury County","43106006000000",197486,2020,"General Purpose",323666954,161775799,86304855,0,4582645,120000,0,2376718,0,0,1518027,369157802,28854370,260771,50684426,5281863,443675506,0,0,0,448957369,FALSE,"0500000US47119","Tennessee",100974
"486","NC","Craven County","34102502500000",36536,2020,"General Purpose",90573248,5947000,8083495,0,45280876,0,11920117,192901,16337506,0,3004299,18415395,25310768,1184199,80023742,8729179,116204925,0,0,0,124934104,FALSE,"0500000US37049","North Carolina",100720
"487","WY","Laramie County","51101101100000",40130,2020,"General Purpose",37517884,0,4964692,914166,524276,8080573,20319885,0,0,0,2714292,13233849,6080005,564585,67116057,15840792,71153704,0,0,0,86994496,FALSE,"0500000US56021","Wyoming",100512
"488","AR","Garland County","4102602600000",51351,2020,"General Purpose",6606314,22905000,6606314,0,0,0,24238286,0,0,0,816804,0,0,0,71999209,7317756,64681453,0,0,0,71999209,FALSE,"0500000US05051","Arkansas",100180
"489","TX","Hunt County","44111611600000",88315,2020,"General Purpose",27362327,5736277,3044723,348094,1260000,0,3245472,0,12085758,0,621537,4121918,2160734,811556,42938890,3741795,46291303,0,0,0,50033098,FALSE,"0500000US48231","Texas",99956
"490","NC","Moore County","34106306300000",36613,2020,"General Purpose",325478221,68284077,24216439,365767,15259206,0,15794696,224230,35715277,0,3079211,31305489,12150152,3067329,111807851,-48739972,207070793,0,0,0,158330821,FALSE,"0500000US37125","North Carolina",99727
"491","VA","Montgomery County","47106106100000",326395,2020,"General Purpose",218721352,172159920,24144928,0,500000,0,13083603,0,4227912,0,3488758,2944149,14789956,0,121110826,15299922,123545009,0,0,0,138844931,FALSE,"0500000US51121","Virginia",99721
"492","IA","Dallas County","16102502500000",64868,2020,"General Purpose",41463401,0,5221357,0,0,25455000,7475146,0,1688633,0,1530254,5300519,7241181,628208,35136561,7508695,40797774,0,0,0,48306469,FALSE,"0500000US19049","Iowa",99678
"493","NC","Cleveland County","34102302300000",81675,2020,"General Purpose",127725395,11165000,11760747,582019,0,0,18449412,161170,20120659,0,4410314,17303787,21972008,4827703,95692634,-9468606,149264738,0,0,0,139796132,FALSE,"0500000US37045","North Carolina",99519
"494","MI","Lenawee County","23104604600000",34273,2020,"General Purpose",49458350,22036912,4996146,4844624,0,0,15561221,262329,282865,0,1736582,24747538,15225323,0,26970485,6215420,60727926,1267996,1073019,0,66943346,FALSE,"0500000US26091","Michigan",99423
"495","IA","Dubuque County","16103103100000",33302,2020,"General Purpose",51983816,28883751,4076020,747572,205561,0,10354574,0,2068064,0,5648274,13959499,7377941,5306505,46471352,12258775,60856522,0,0,0,73115297,FALSE,"0500000US19061","Iowa",99266
"496","TN","Madison County","43105705700000",197483,2020,"General Purpose",95147236,73696253,2751792,1135831,0,8276000,0,4968985,6471574,0,2815786,13862715,11841010,94000,58803008,15655863,68944870,0,0,0,84600733,FALSE,"0500000US47113","Tennessee",98823
"497","GA","Floyd County","11105705700000",90321,2020,"General Purpose",58159833,2675885,7048903,646508,2750000,2562012,24150014,0,6453119,0,4754241,18381688,8207647,2753953,73685923,-4910897,107940108,0,0,0,103029211,FALSE,"0500000US13115","Georgia",98584
"498","IA","Story County","16108508500000",64871,2020,"General Purpose",25121536,9404148,2158012,1762566,0,0,8711623,0,1508183,0,912814,4218380,5809355,2912373,33667347,5177895,41429560,0,0,0,46607455,FALSE,"0500000US19169","Iowa",98537
"499","ND","Burleigh County","35100800800000",81801,2020,"General Purpose",120603980,56410585,4731950,509188,6927227,0,49164701,0,1197388,0,1662941,10633910,14357668,1662441,35380353,-521997,62556369,0,0,0,62034372,FALSE,"0500000US38015","North Dakota",98458
"500","TN","Sevier County","43107807800000",197515,2020,"General Purpose",132567941,72970270,4249008,0,49721699,0,0,11915145,4726964,0,0,19379348,6356005,251474,65118982,7885253,83220556,0,0,0,91105809,FALSE,"0500000US47155","Tennessee",98380
"501","AL","Marshall County","1104804800000",110362,2020,"General Purpose",26665997,0,2506726,209435,0,0,6586980,0,11701666,0,511037,3071219,8884480,0,16812863,4025939,24742623,0,0,0,28768562,FALSE,"0500000US01095","Alabama",97612
"502","OH","Ashtabula County","36100400400000",44716,2020,"General Purpose",119315696,20406165,6646693,4590606,10622144,160714,43540857,588160,30164030,0,3126582,21430566,46945796,1037975,38673793,7310079,100778051,0,0,0,108088130,FALSE,"0500000US39007","Ohio",97574
"503","LA","Lafourche Parish","19102902800000",91575,2020,"General Purpose",61115245,50432668,6045085,384582,0,0,80297,0,0,0,688631,3269848,11501541,4829660,43407082,2394532,60613599,207117,0,0,63008131,FALSE,"0500000US22057","Louisiana",97557
"504","TX","Bastrop County","44101101100000",38613,2020,"General Purpose",86503467,42487870,4060428,93338,0,0,4834705,0,34187316,0,839810,12571459,6116890,4709187,47239433,4885184,65751785,0,0,0,70636969,FALSE,"0500000US48021","Texas",97216
"505","MN","Sherburne County","24107107100000",34739,2020,"General Purpose",100629952,41817257,7185318,0,395744,0,34995551,0,8500432,0,7735650,30374906,37656706,1309538,65487566,18152741,116675975,0,0,0,134828716,FALSE,"0500000US27141","Minnesota",97183
"506","VA","Roanoke County","47108108100000",230423,2020,"General Purpose",268253281,176726541,19085918,0,0,0,51689185,0,11610305,0,6196165,12950046,31976337,0,175224579,-5911289,226062251,0,0,0,220150962,FALSE,"0500000US51161","Virginia",96929
"507","WA","Franklin County","48101101100000",43133,2020,"General Purpose",35593491,20636385,2613700,0,0,0,4673888,1672420,3749077,0,2790212,9024068,12383401,953999,32896531,-139197,55397196,0,0,0,55257999,FALSE,"0500000US53021","Washington",96749
"508","GA","Walton County","11114714700000",71037,2020,"General Purpose",130273100,63133165,7369912,0,10241743,27922734,16961476,0,0,0,2459202,25490369,3326907,387747,71505902,1846004,98864921,0,0,0,100710925,FALSE,"0500000US13297","Georgia",96673
"509","SC","Lancaster County","41102902900000",38267,2020,"General Purpose",110172717,43158490,8174706,620000,0,0,51456686,0,4070482,0,1606138,17433516,5070517,3349607,71204211,18361177,78696674,0,0,0,97057851,FALSE,"0500000US45057","South Carolina",96016
"510","AK","Fairbanks North Star Borough","2100600200000",110765,2020,"General Purpose",201261253,108261392,9175277,368922,2528832,0,43030327,0,1478077,0,2957531,17821781,3447687,5292314,157398049,25720259,158239573,0,0,0,183959832,FALSE,"0500000US02090","Alaska",95655
"511","OH","Geauga County","36102802800000",36882,2020,"General Purpose",121933159,13637372,8181321,10723,10718212,0,47307948,437630,32547017,13619,3558106,17305627,28401265,1121851,64064677,11626333,99267087,0,0,0,110893420,FALSE,"0500000US39055","Ohio",95397
"512","NJ","Cape May County","31100500500000",35615,2020,"General Purpose",407987377,144660000,0,896329,4050659,0,123639108,0,353365411,0,7477088,0,0,0,196485831,12293942,184191889,0,0,0,196485831,FALSE,"0500000US34009","New Jersey",95263
"513","MI","Grand Traverse County","23102802800000",166494,2020,"General Purpose",67433298,11999615,5289159,0,0,0,45276805,0,1603080,0,2990643,39611844,18566976,0,33274569,5278353,86175036,0,0,0,91453389,FALSE,"0500000US26055","Michigan",95238
"514","OR","Benton County","38100200200000",103165,2020,"General Purpose",92278533,24386177,5487796,0,6265000,0,47599257,0,4602021,533956,3938282,24724145,33081450,1003151,33576640,1751126,90634260,0,0,0,92385386,FALSE,"0500000US41003","Oregon",95184
"515","NC","Nash County","34106406400000",36615,2020,"General Purpose",149678652,19916442,6433602,63962,3374665,0,15004573,151721,58715917,0,2948920,12624980,19011390,2524993,75593726,2796009,106959080,0,0,0,109755089,FALSE,"0500000US37127","North Carolina",94970
"516","IA","Pottawattamie County","16107807800000",33311,2020,"General Purpose",22809822,0,2314768,0,0,3320000,12505127,0,2261430,0,2408497,7062503,11190677,3384742,57852018,7704183,71785757,0,0,0,79489940,FALSE,"0500000US19155","Iowa",93667
"517","NY","Steuben County","33105104600000",36006,2020,"General Purpose",234685568,34672406,0,0,0,0,42205650,0,89319538,0,6172397,23984956,43035748,15125064,113991932,1303115,194834585,0,0,0,196137700,FALSE,"0500000US36101","New York",93584
"518","GA","Rockdale County","11112212200000",32459,2020,"General Purpose",233905267,81656764,14783942,0,0,20531090,30601118,0,71213178,0,3757261,50342091,9557078,1049183,87855530,3927581,144876301,0,0,0,148803882,FALSE,"0500000US13247","Georgia",93570
"519","WI","St. Croix County","50105605600000",39866,2020,"General Purpose",75807768,52277857,9742425,0,0,8104000,0,0,1296926,0,4386560,34301802,17206313,316031,50816161,9453409,93186898,0,0,0,102640307,FALSE,"0500000US55109","Wisconsin",93536
"520","OH","Tuscarawas County","36107907900000",36914,2020,"General Purpose",72539028,6354951,4900788,236311,4958211,0,32169614,174250,21317907,50351,2476392,10083979,28765389,3101278,37813719,6432850,73331515,0,0,0,79764365,FALSE,"0500000US39157","Ohio",93263
"521","TX","Bowie County","44101901900000",65055,2020,"General Purpose",35725560,21327170,2805876,110674,0,390919,4816476,0,5535517,0,233963,10857527,4118063,0,29915147,-4870125,49760862,0,0,0,44890737,FALSE,"0500000US48037","Texas",92893
